,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.9025911051287592,-0.9647426907508597,,-0.030072043071704066,-0.030072043071704066,0.0049893423835568424,-0.20266820448659598,-0.022966217106683475,-0.09090664591718794,0.01129414693138218,,-0.9158272289016859
IngressEgressDelta,-0.9025911051287592,1.0,0.9565900223960265,,-0.006571025168912144,-0.006571025168912144,0.018282952936473654,0.07263612972218533,-0.013983068850301076,0.10404041355923642,-0.04012509544681766,,0.9826146164828382
RetryRate,-0.9647426907508597,0.9565900223960265,1.0,0.07713562415072736,0.0371940403270535,0.0371940403270535,-0.05774850761773307,0.0630994931060124,0.034010430525456874,-0.02343978727238734,-0.04975147777963964,-0.0038486858006756977,0.9643581697390518
PDR,,,0.07713562415072736,1.0,0.028692496341525636,0.028692496341525636,-0.025025243464485727,0.05561838714290731,0.027062492632391598,0.000769782404126585,-0.007701641547351472,0.018955755496934745,
ParentSwitchRate,-0.030072043071704066,-0.006571025168912144,0.0371940403270535,0.028692496341525636,1.0,1.0,-0.7586973375095659,0.010010267731114162,0.8164847947522813,-0.31554976244322236,0.09394560422602194,-0.0014282858821624044,0.02892357133569756
LayerChangeCount,-0.030072043071704066,-0.006571025168912144,0.0371940403270535,0.028692496341525636,1.0,1.0,-0.7586973375095659,0.010010267731114162,0.8164847947522813,-0.31554976244322236,0.09394560422602194,-0.0014282858821624044,0.02892357133569756
HopStabilityDuration,0.0049893423835568424,0.018282952936473654,-0.05774850761773307,-0.025025243464485727,-0.7586973375095659,-0.7586973375095659,1.0,-0.05358874546238044,-0.6656341878492887,0.3178358872928658,-0.0788875256753447,0.003985754557243408,-0.0035486862372734016
RSSI_mean,-0.20266820448659598,0.07263612972218533,0.0630994931060124,0.05561838714290731,0.010010267731114162,0.010010267731114162,-0.05358874546238044,1.0,0.0164874098587205,0.06285643609632925,-0.3788000441329583,-0.005299809811168546,0.18842362883820132
RSSI_var,-0.022966217106683475,-0.013983068850301076,0.034010430525456874,0.027062492632391598,0.8164847947522813,0.8164847947522813,-0.6656341878492887,0.0164874098587205,1.0,-0.429971659324261,0.11553325129717218,-0.0010923552221836332,0.020933639389252648
RSSI_stability,-0.09090664591718794,0.10404041355923642,-0.02343978727238734,0.000769782404126585,-0.31554976244322236,-0.31554976244322236,0.3178358872928658,0.06285643609632925,-0.429971659324261,1.0,-0.03545965349783953,-0.020959963258635774,0.09966349906189335
RSSI_Hop_Diff,0.01129414693138218,-0.04012509544681766,-0.04975147777963964,-0.007701641547351472,0.09394560422602194,0.09394560422602194,-0.0788875256753447,-0.3788000441329583,0.11553325129717218,-0.03545965349783953,1.0,-0.010028023034718342,-0.010344932568786698
LatencyHopRatio,,,-0.0038486858006756977,0.018955755496934745,-0.0014282858821624044,-0.0014282858821624044,0.003985754557243408,-0.005299809811168546,-0.0010923552221836332,-0.020959963258635774,-0.010028023034718342,1.0,
ConsistencyScore,-0.9158272289016859,0.9826146164828382,0.9643581697390518,,0.02892357133569756,0.02892357133569756,-0.0035486862372734016,0.18842362883820132,0.020933639389252648,0.09966349906189335,-0.010344932568786698,,1.0
