,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.8832065361204627,-0.878901516423154,,-0.07989850587317002,-0.07989850587317002,0.07989850587317002,-0.18443018457548774,0.22176105002490554,-0.08902137545528038,0.19694232343612292,,-0.950317852218613
IngressEgressDelta,-0.8832065361204627,1.0,0.9347695070949514,,0.049091622123761954,0.049091622123761954,-0.049091622123761954,0.13458590781338833,-0.27185518491352073,0.13285648136151648,-0.12234254045035,,0.9349418090375964
RetryRate,-0.878901516423154,0.9347695070949514,1.0,0.02047557223990468,0.06631539565288462,0.06631539565288462,-0.06383134851920493,0.035718312982322344,0.09125208119256763,-0.04460352384047537,-0.05175915365339448,,0.8696451914279132
PDR,,,0.02047557223990468,1.0,0.02047557223990468,0.02047557223990468,-0.008342408555484897,0.021063254445836538,-0.02817926106037859,0.033924405362987756,0.006450997225550188,0.1197490773660235,
ParentSwitchRate,-0.07989850587317002,0.049091622123761954,0.06631539565288462,0.02047557223990468,1.0,1.0,-0.5337105093566431,0.013338454413993842,0.011800398195320735,-0.07628916182776123,0.019258872449013753,0.05347593643822308,0.0790705420817382
LayerChangeCount,-0.07989850587317002,0.049091622123761954,0.06631539565288462,0.02047557223990468,1.0,1.0,-0.5337105093566431,0.013338454413993842,0.011800398195320735,-0.07628916182776123,0.019258872449013753,0.05347593643822308,0.0790705420817382
HopStabilityDuration,0.07989850587317002,-0.049091622123761954,-0.06383134851920493,-0.008342408555484897,-0.5337105093566431,-0.5337105093566431,1.0,-0.06316489937251314,0.032418682530696685,0.23967847046019908,0.01107877352668748,-0.06308287772064639,-0.0790705420817382
RSSI_mean,-0.18443018457548774,0.13458590781338833,0.035718312982322344,0.021063254445836538,0.013338454413993842,0.013338454413993842,-0.06316489937251314,1.0,-0.2540083368324763,0.03475247845622591,-0.5776581119945937,0.00703229482834549,0.14089608411161889
RSSI_var,0.22176105002490554,-0.27185518491352073,0.09125208119256763,-0.02817926106037859,0.011800398195320735,0.011800398195320735,0.032418682530696685,-0.2540083368324763,1.0,-0.35028735060718275,0.3002201088316941,-0.029455432500489723,-0.2494014782018554
RSSI_stability,-0.08902137545528038,0.13285648136151648,-0.04460352384047537,0.033924405362987756,-0.07628916182776123,-0.07628916182776123,0.23967847046019908,0.03475247845622591,-0.35028735060718275,1.0,-0.04966697479340304,-0.009794701237707351,0.1044469534513912
RSSI_Hop_Diff,0.19694232343612292,-0.12234254045035,-0.05175915365339448,0.006450997225550188,0.019258872449013753,0.019258872449013753,0.01107877352668748,-0.5776581119945937,0.3002201088316941,-0.04966697479340304,1.0,0.16750291644986517,-0.16261218655612986
LatencyHopRatio,,,,0.1197490773660235,0.05347593643822308,0.05347593643822308,-0.06308287772064639,0.00703229482834549,-0.029455432500489723,-0.009794701237707351,0.16750291644986517,1.0,
ConsistencyScore,-0.950317852218613,0.9349418090375964,0.8696451914279132,,0.0790705420817382,0.0790705420817382,-0.0790705420817382,0.14089608411161889,-0.2494014782018554,0.1044469534513912,-0.16261218655612986,,1.0
