feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,,,,,,0,132,1.0
IngressEgressDelta,,,,,,0,132,1.0
RetryRate,0.0,0.0,0.0,0.0,0.0,132,132,0.0
PDR,,,,,,0,132,1.0
ParentSwitchRate,0.0,0.0,0.0,0.0,0.0,132,132,0.0
LayerChangeCount,0.0,0.0,0.0,0.0,0.0,132,132,0.0
HopStabilityDuration,4.0,4.0,0.0,4.0,4.0,132,132,0.0
RSSI_mean,0.0,0.0,0.0,0.0,0.0,132,132,0.0
RSSI_var,0.0,0.0,0.0,0.0,0.0,132,132,0.0
RSSI_stability,4.0,4.0,0.0,4.0,4.0,132,132,0.0
RSSI_Hop_Diff,0.0,0.0,0.0,0.0,0.0,132,132,0.0
LatencyHopRatio,,,,,,0,132,1.0
ConsistencyScore,,,,,,0,132,1.0
TunnelIntensity,,,,,,0,132,1.0
TunnelBytes,,,,,,0,132,1.0
TunnelLatency,,,,,,0,132,1.0
