label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,,,,0,96
Baseline,IngressEgressDelta,,,,0,96
Baseline,RetryRate,0.0,0.0,0.0,96,96
Baseline,PDR,,,,0,96
Baseline,ParentSwitchRate,0.0,0.0,0.0,96,96
Baseline,LayerChangeCount,0.0,0.0,0.0,96,96
Baseline,HopStabilityDuration,4.0,4.0,0.0,96,96
Baseline,RSSI_mean,0.0,0.0,0.0,96,96
Baseline,RSSI_var,0.0,0.0,0.0,96,96
Baseline,RSSI_stability,4.0,4.0,0.0,96,96
Baseline,RSSI_Hop_Diff,0.0,0.0,0.0,96,96
Baseline,LatencyHopRatio,,,,0,96
Baseline,ConsistencyScore,,,,0,96
Baseline,TunnelIntensity,,,,0,96
Baseline,TunnelBytes,,,,0,96
Baseline,TunnelLatency,,,,0,96
Wormhole,ForwardingRatio,,,,0,36
Wormhole,IngressEgressDelta,,,,0,36
Wormhole,RetryRate,0.0,0.0,0.0,36,36
Wormhole,PDR,,,,0,36
Wormhole,ParentSwitchRate,0.0,0.0,0.0,36,36
Wormhole,LayerChangeCount,0.0,0.0,0.0,36,36
Wormhole,HopStabilityDuration,4.0,4.0,0.0,36,36
Wormhole,RSSI_mean,0.0,0.0,0.0,36,36
Wormhole,RSSI_var,0.0,0.0,0.0,36,36
Wormhole,RSSI_stability,4.0,4.0,0.0,36,36
Wormhole,RSSI_Hop_Diff,0.0,0.0,0.0,36,36
Wormhole,LatencyHopRatio,,,,0,36
Wormhole,ConsistencyScore,,,,0,36
Wormhole,TunnelIntensity,,,,0,36
Wormhole,TunnelBytes,,,,0,36
Wormhole,TunnelLatency,,,,0,36
