window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,_pdr_clipped,Label,missing_firmware_fields
10,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-62.2,10.559999999999999,-67,-59,0,False,4,False,4,False,0,0,,,,0.0,-62.2,10.559999999999999,6.400000000000006,,,,,0.0,0,4.0,1.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
15,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-58.2,2.96,-61,-56,0,False,4,False,4,False,0,0,,,,0.0,-58.2,2.96,2.4000000000000057,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
20,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-57.6,0.24,-58,-57,0,False,4,False,4,False,0,0,,,,0.0,-57.6,0.24,1.8000000000000043,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
25,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-61.2,8.559999999999999,-65,-58,0,False,4,False,4,False,0,0,,,,0.0,-61.2,8.559999999999999,5.400000000000006,,,,,0.0,0,4.0,1.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
30,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-68.2,9.360000000000001,-73,-64,0,False,4,False,4,False,0,0,,,,0.0,-68.2,9.360000000000001,12.400000000000006,,,,,0.0,0,4.0,1.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
35,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-64.0,2.8,-66,-62,0,False,4,False,4,False,0,0,,,,0.0,-64.0,2.8,8.200000000000003,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
40,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-61.6,11.84,-68,-58,0,False,4,False,4,False,0,0,,,,0.0,-61.6,11.84,5.800000000000004,,,,,0.0,0,4.0,2.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
45,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-58.4,0.24,-59,-58,0,False,4,False,4,False,0,0,,,,0.0,-58.4,0.24,2.6000000000000014,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
50,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-61.6,1.8399999999999999,-63,-59,0,False,4,False,4,False,0,0,,,,0.0,-61.6,1.8399999999999999,5.800000000000004,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
55,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-57.6,50.239999999999995,-64,-48,0,False,4,False,4,False,0,0,,,,0.0,-57.6,50.239999999999995,1.8000000000000043,,,,,0.0,0,4.0,0.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
60,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-52.0,16.8,-60,-49,0,False,4,False,4,False,0,0,,,,0.0,-52.0,16.8,3.799999999999997,,,,,0.0,0,4.0,2.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
65,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-57.0,41.2,-66,-49,0,False,4,False,4,False,0,0,,,,0.0,-57.0,41.2,1.2000000000000028,,,,,0.0,0,4.0,1.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
70,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-56.4,3.04,-58,-53,0,False,4,False,4,False,0,0,,,,0.0,-56.4,3.04,0.6000000000000014,,,,,0.0,0,4.0,3.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
75,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-52.4,3.84,-54,-50,0,False,4,False,4,False,0,0,,,,0.0,-52.4,3.84,3.3999999999999986,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
80,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-54.0,2.4,-57,-53,0,False,4,False,4,False,0,0,,,,0.0,-54.0,2.4,1.7999999999999972,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
85,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-60.0,0.4,-61,-59,0,False,4,False,4,False,0,0,,,,0.0,-60.0,0.4,4.200000000000003,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
90,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-55.4,25.04,-61,-48,0,False,4,False,4,False,0,0,,,,0.0,-55.4,25.04,0.3999999999999986,,,,,0.0,0,4.0,0.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
95,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-58.4,0.24,-59,-58,0,False,4,False,4,False,0,0,,,,0.0,-58.4,0.24,2.6000000000000014,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
100,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-60.6,6.24,-64,-58,0,False,4,False,4,False,0,0,,,,0.0,-60.6,6.24,4.800000000000004,,,,,0.0,0,4.0,3.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
105,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-57.8,12.16,-64,-54,0,False,4,False,4,False,0,0,,,,0.0,-57.8,12.16,2.0,,,,,0.0,0,4.0,1.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
110,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-55.0,15.6,-61,-50,0,False,4,False,4,False,0,0,,,,0.0,-55.0,15.6,0.7999999999999972,,,,,0.0,0,4.0,1.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
