,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.9464745773143002,-0.9746905858508058,,,,,-0.5459554665685277,-0.09003943663467469,0.05823841502719962,-0.06448676517163474,,-0.9995854041894493
IngressEgressDelta,-0.9464745773143002,1.0,0.9451998066189081,,,,,0.35761878797602586,0.03289886389015828,-0.00535565645073769,-0.011030458376214212,,0.9469111648010171
RetryRate,-0.9746905858508058,0.9451998066189081,1.0,,,,0.008864222838627733,0.22012949924860095,0.11779149589988552,-0.03879818363965015,-0.0006947989339415399,,0.9747013163539553
PDR,,,,1.0,,,0.04792457330112004,0.035283139476932866,0.05978480509979672,-0.021031674348958383,0.015571642161774223,0.03349311772360571,
ParentSwitchRate,,,,,,,,,,,,,
LayerChangeCount,,,,,,,,,,,,,
HopStabilityDuration,,,0.008864222838627733,0.04792457330112004,,,1.0,0.011985130711649025,0.0012663154769578676,0.13713730541839322,0.0015062055164094372,,
RSSI_mean,-0.5459554665685277,0.35761878797602586,0.22012949924860095,0.035283139476932866,,,0.011985130711649025,1.0,0.03512465805546165,0.02336899180363928,-0.2693216324352182,0.05866938705386912,0.5460745694474151
RSSI_var,-0.09003943663467469,0.03289886389015828,0.11779149589988552,0.05978480509979672,,,0.0012663154769578676,0.03512465805546165,1.0,-0.5830005855495515,0.2919318100876457,-0.04116591771055469,0.09003997678696853
RSSI_stability,0.05823841502719962,-0.00535565645073769,-0.03879818363965015,-0.021031674348958383,,,0.13713730541839322,0.02336899180363928,-0.5830005855495515,1.0,-0.18372427419011528,0.023921808643114956,-0.05803766514241375
RSSI_Hop_Diff,-0.06448676517163474,-0.011030458376214212,-0.0006947989339415399,0.015571642161774223,,,0.0015062055164094372,-0.2693216324352182,0.2919318100876457,-0.18372427419011528,1.0,0.0023140529013966128,0.0642320450956246
LatencyHopRatio,,,,0.03349311772360571,,,,0.05866938705386912,-0.04116591771055469,0.023921808643114956,0.0023140529013966128,1.0,
ConsistencyScore,-0.9995854041894493,0.9469111648010171,0.9747013163539553,,,,,0.5460745694474151,0.09003997678696853,-0.05803766514241375,0.0642320450956246,,1.0
