,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.8879391117110669,-0.8777868729769152,,,,,-0.3293319556239891,0.5045360364289505,-0.021479793604041005,0.3259641757719603,,-0.9710592339799708
IngressEgressDelta,-0.8879391117110669,1.0,0.9650458277503082,,,,,0.23159523524148365,-0.44554920823522576,0.048163265244379375,-0.28722661792452664,,0.9168746387175869
RetryRate,-0.8777868729769152,0.9650458277503082,1.0,,,,0.008921565928999476,0.3051581049288636,-0.08768371284774898,0.008869256547843549,-0.25201163296284146,,0.877620236223202
PDR,,,,1.0,,,0.04699911679815269,0.06699872112798243,-0.08082635815784409,-0.016540276582882686,0.0020475093583571125,0.030982087154318185,
ParentSwitchRate,,,,,,,,,,,,,
LayerChangeCount,,,,,,,,,,,,,
HopStabilityDuration,,,0.008921565928999476,0.04699911679815269,,,1.0,-0.009650810620184413,-0.013936167198549341,0.2317918772160845,-0.014709625553803169,,
RSSI_mean,-0.3293319556239891,0.23159523524148365,0.3051581049288636,0.06699872112798243,,,-0.009650810620184413,1.0,-0.19464700524539572,0.010583129909376335,-0.6208786071879024,0.3193313064274659,0.3517385123646931
RSSI_var,0.5045360364289505,-0.44554920823522576,-0.08768371284774898,-0.08082635815784409,,,-0.013936167198549341,-0.19464700524539572,1.0,-0.23619911100149638,0.26293274740598355,-0.1026157264380836,-0.49242639769856106
RSSI_stability,-0.021479793604041005,0.048163265244379375,0.008869256547843549,-0.016540276582882686,,,0.2317918772160845,0.010583129909376335,-0.23619911100149638,1.0,-0.05568695628152284,-0.03432311182655749,0.02564913728663545
RSSI_Hop_Diff,0.3259641757719603,-0.28722661792452664,-0.25201163296284146,0.0020475093583571125,,,-0.014709625553803169,-0.6208786071879024,0.26293274740598355,-0.05568695628152284,1.0,-0.18890545143167,-0.33195980400416036
LatencyHopRatio,,,,0.030982087154318185,,,,0.3193313064274659,-0.1026157264380836,-0.03432311182655749,-0.18890545143167,1.0,
ConsistencyScore,-0.9710592339799708,0.9168746387175869,0.877620236223202,,,,,0.3517385123646931,-0.49242639769856106,0.02564913728663545,-0.33195980400416036,,1.0
