feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,0.5907490065507286,0.9999999375000038,0.2426733991284027,0.0,1.0666665955555603,164,944,0.826271186440678
IngressEgressDelta,5.654545454545454,0.0,51.361640798226155,0.0,18.0,165,944,0.8252118644067796
RetryRate,0.06892213443980473,0.0,0.06417778373109104,0.0,0.9999999629629645,944,944,0.0
PDR,0.5958268855100481,1.0,0.23964199537105335,0.0,1.0,647,944,0.3146186440677966
ParentSwitchRate,0.0,0.0,0.0,0.0,0.0,944,944,0.0
LayerChangeCount,0.0,0.0,0.0,0.0,0.0,944,944,0.0
HopStabilityDuration,3.9989406779661016,4.0,0.0010593220338983049,3.0,4.0,944,944,0.0
RSSI_mean,-58.41996822033898,-69.9,714.1228060435277,-78.0,0.0,944,944,0.0
RSSI_var,1.4313003177966102,0.16,1024.155981877105,0.0,983.0400000000002,944,944,0.0
RSSI_stability,3.9713983050847457,4.0,0.053263790283444475,0.0,4.0,944,944,0.0
RSSI_Hop_Diff,1.6738877118644069,1.2000000000000028,7.181854540930488,0.0,64.0,944,944,0.0
LatencyHopRatio,5.848790031419594,2.9275,173.36938702308424,0.6282666666666668,127.84325,389,944,0.5879237288135593
ConsistencyScore,0.4108261950242631,6.458332918457545e-08,0.2413736871766278,3.846153706632549e-08,1.0,164,944,0.826271186440678
TunnelIntensity,,,,,,0,944,1.0
TunnelBytes,,,,,,0,944,1.0
TunnelLatency,,,,,,0,944,1.0
