label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,0.7568971646431208,0.9999999375000038,0.1847154261989458,128,727
Baseline,IngressEgressDelta,2.7286821705426356,0.0,26.199249031007756,129,727
Baseline,RetryRate,0.039975924544280415,0.0,0.03835000048460565,727,727
Baseline,PDR,0.5742031829432281,1.0,0.24460764376662691,502,727
Baseline,ParentSwitchRate,0.0,0.0,0.0,727,727
Baseline,LayerChangeCount,0.0,0.0,0.0,727,727
Baseline,HopStabilityDuration,3.998624484181568,4.0,0.0013755158184319122,727,727
Baseline,RSSI_mean,-58.419325997248976,-70.0,719.9186652475739,727,727
Baseline,RSSI_var,1.7159112792297113,0.16,1329.538420389157,727,727
Baseline,RSSI_stability,3.969738651994498,4.0,0.05968905006043932,727,727
Baseline,RSSI_Hop_Diff,1.7099724896836315,1.2000000000000028,8.558801927616791,727,727
Baseline,LatencyHopRatio,7.0838509996155326,3.335266666666666,227.25258932322404,289,727
Baseline,ConsistencyScore,0.2451210623748371,6.24999961784667e-08,0.18372232090260315,128,727
Baseline,TunnelIntensity,,,,0,727
Baseline,TunnelBytes,,,,0,727
Baseline,TunnelLatency,,,,0,727
Blackhole,ForwardingRatio,0.0,0.0,0.0,36,217
Blackhole,IngressEgressDelta,16.13888888888889,16.0,0.23730158730158735,36,217
Blackhole,RetryRate,0.16589860722342764,0.0,0.1390168798393318,217,217
Blackhole,PDR,0.6706896350862115,1.0,0.2167564550173671,145,217
Blackhole,ParentSwitchRate,0.0,0.0,0.0,217,217
Blackhole,LayerChangeCount,0.0,0.0,0.0,217,217
Blackhole,HopStabilityDuration,4.0,4.0,0.0,217,217
Blackhole,RSSI_mean,-58.422119815668204,-69.0,697.9483973374297,217,217
Blackhole,RSSI_var,0.4777880184331797,0.16,1.287106195596518,217,217
Blackhole,RSSI_stability,3.9769585253456223,4.0,0.03187403993855606,217,217
Blackhole,RSSI_Hop_Diff,1.552995391705069,1.2000000000000028,2.5679655231268064,217,217
Blackhole,LatencyHopRatio,2.279463833333333,2.0637,1.0478175962839786,100,217
Blackhole,ConsistencyScore,1.0,1.0,0.0,36,217
Blackhole,TunnelIntensity,,,,0,217
Blackhole,TunnelBytes,,,,0,217
Blackhole,TunnelLatency,,,,0,217
