,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.9986605114072363,-0.9995552746409508,,0.05261222053288724,0.05261222053288724,-0.05261222053288842,0.09293117457639391,0.05105196719939943,-0.033501353249395634,0.20271004673566667,,-0.99872868641946
IngressEgressDelta,-0.9986605114072363,1.0,0.9934465655008612,,-0.05207115750370543,-0.05207115750370543,0.05207115750370589,-0.2038259250282194,-0.0621171645319078,0.0446230753291585,-0.11982647508239809,,0.9998729220830681
RetryRate,-0.9995552746409508,0.9934465655008612,1.0,0.2695983059315293,0.0895191277219464,0.0895191277219464,-0.06904025166861913,0.2983783380927731,0.13545458630423524,-0.10598190542800626,0.1335027668314171,0.023788239608630943,0.9995688545339603
PDR,,,0.2695983059315293,1.0,0.07591712196420076,0.07591712196420076,-0.0715707596526958,0.24978765048057341,0.07612430842578735,-0.029622567267238848,0.06619025148840037,0.019461560716125488,
ParentSwitchRate,0.05261222053288724,-0.05207115750370543,0.0895191277219464,0.07591712196420076,1.0,1.0,-0.9252397755004999,-0.0003714151024586073,0.48677299341071467,-0.4773637890565539,0.4207526096082602,0.022905110525309164,-0.05348544060359729
LayerChangeCount,0.05261222053288724,-0.05207115750370543,0.0895191277219464,0.07591712196420076,1.0,1.0,-0.9252397755004999,-0.0003714151024586073,0.48677299341071467,-0.4773637890565539,0.4207526096082602,0.022905110525309164,-0.05348544060359729
HopStabilityDuration,-0.05261222053288842,0.05207115750370589,-0.06904025166861913,-0.0715707596526958,-0.9252397755004999,-0.9252397755004999,1.0,-0.018280338010030605,-0.5523384611452232,0.505066600073454,-0.37127051822322377,-0.022674424896068527,0.053485440603598576
RSSI_mean,0.09293117457639391,-0.2038259250282194,0.2983783380927731,0.24978765048057341,-0.0003714151024586073,-0.0003714151024586073,-0.018280338010030605,1.0,0.041197235719914224,0.012060760260824482,-0.19494276916379413,-0.011447032576333468,-0.09850767496608569
RSSI_var,0.05105196719939943,-0.0621171645319078,0.13545458630423524,0.07612430842578735,0.48677299341071467,0.48677299341071467,-0.5523384611452232,0.041197235719914224,1.0,-0.8032753472095902,0.4665627189390855,0.02135521628994408,-0.05190665833587999
RSSI_stability,-0.033501353249395634,0.0446230753291585,-0.10598190542800626,-0.029622567267238848,-0.4773637890565539,-0.4773637890565539,0.505066600073454,0.012060760260824482,-0.8032753472095902,1.0,-0.43045731608177873,-0.012453670652621976,0.034860185853190624
RSSI_Hop_Diff,0.20271004673566667,-0.11982647508239809,0.1335027668314171,0.06619025148840037,0.4207526096082602,0.4207526096082602,-0.37127051822322377,-0.19494276916379413,0.4665627189390855,-0.43045731608177873,1.0,0.014880135458128604,-0.20463933349918076
LatencyHopRatio,,,0.023788239608630943,0.019461560716125488,0.022905110525309164,0.022905110525309164,-0.022674424896068527,-0.011447032576333468,0.02135521628994408,-0.012453670652621976,0.014880135458128604,1.0,
ConsistencyScore,-0.99872868641946,0.9998729220830681,0.9995688545339603,,-0.05348544060359729,-0.05348544060359729,0.053485440603598576,-0.09850767496608569,-0.05190665833587999,0.034860185853190624,-0.20463933349918076,,1.0
