,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.8536939161824534,-0.9125517930873156,,-0.07351022993293314,-0.07351022993293314,0.07351022993293314,0.13327683441722732,-0.06183486245075557,0.0765478934391512,0.2743659671027418,,-0.9063741623150426
IngressEgressDelta,-0.8536939161824534,1.0,0.9533883776187131,,-0.056046626505669515,-0.056046626505669515,0.056046626505669515,-0.26221359398919536,0.16144639170118336,0.01253325108752349,-0.17219623916728585,,0.9513404549711818
RetryRate,-0.9125517930873156,0.9533883776187131,1.0,0.2754117861205838,0.1459203777296179,0.1459203777296179,-0.13646691132727312,0.26370552144481896,-0.13735243795498586,-0.09890972374385032,-0.17428552057100222,0.08008603389464841,0.9125109363287645
PDR,,,0.2754117861205838,1.0,0.07677386264632644,0.07677386264632644,-0.0767731505849646,0.08678437491715209,-0.19925959411490812,0.011040387355878846,-0.0467841996176397,0.1320025324775179,
ParentSwitchRate,-0.07351022993293314,-0.056046626505669515,0.1459203777296179,0.07677386264632644,1.0,1.0,-0.9554730609786266,0.03652920165491973,0.06956356614415257,-0.3347784127118771,0.12558725026820994,0.09009050288741223,0.06558697161680861
LayerChangeCount,-0.07351022993293314,-0.056046626505669515,0.1459203777296179,0.07677386264632644,1.0,1.0,-0.9554730609786266,0.03652920165491973,0.06956356614415257,-0.3347784127118771,0.12558725026820994,0.09009050288741223,0.06558697161680861
HopStabilityDuration,0.07351022993293314,0.056046626505669515,-0.13646691132727312,-0.0767731505849646,-0.9554730609786266,-0.9554730609786266,1.0,-0.04594044748046087,-0.05726365417191831,0.3649393468228642,-0.10951892081240255,-0.09014694160724142,-0.06558697161680861
RSSI_mean,0.13327683441722732,-0.26221359398919536,0.26370552144481896,0.08678437491715209,0.03652920165491973,0.03652920165491973,-0.04594044748046087,1.0,-0.5464578110796036,0.06506460055240468,-0.48242842276251235,0.013455015752714647,-0.188521863314953
RSSI_var,-0.06183486245075557,0.16144639170118336,-0.13735243795498586,-0.19925959411490812,0.06956356614415257,0.06956356614415257,-0.05726365417191831,-0.5464578110796036,1.0,-0.29290846656830705,0.46900308690954867,-0.017571331392961402,0.06567388937859554
RSSI_stability,0.0765478934391512,0.01253325108752349,-0.09890972374385032,0.011040387355878846,-0.3347784127118771,-0.3347784127118771,0.3649393468228642,0.06506460055240468,-0.29290846656830705,1.0,-0.15913258674108274,-0.041879576514251185,-0.06408744108728964
RSSI_Hop_Diff,0.2743659671027418,-0.17219623916728585,-0.17428552057100222,-0.0467841996176397,0.12558725026820994,0.12558725026820994,-0.10951892081240255,-0.48242842276251235,0.46900308690954867,-0.15913258674108274,1.0,-0.07586467239502617,-0.3024546817857483
LatencyHopRatio,,,0.08008603389464841,0.1320025324775179,0.09009050288741223,0.09009050288741223,-0.09014694160724142,0.013455015752714647,-0.017571331392961402,-0.041879576514251185,-0.07586467239502617,1.0,
ConsistencyScore,-0.9063741623150426,0.9513404549711818,0.9125109363287645,,0.06558697161680861,0.06558697161680861,-0.06558697161680861,-0.188521863314953,0.06567388937859554,-0.06408744108728964,-0.3024546817857483,,1.0
