feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,0.731229222737694,0.9999999375000038,0.19670715271027944,0.0,1.1333332577777828,402,2669,0.8493817909329336
IngressEgressDelta,3.763440860215054,0.0,45.4223674453096,0.0,17.0,465,2669,0.8257774447358561
RetryRate,0.11254681306768737,0.0,0.09887212653018607,0.0,0.999999941176474,2669,2669,0.0
PDR,0.6232706123063094,1.0,0.23399998274040557,0.0,1.0,1807,2669,0.32296740352191833
ParentSwitchRate,0.001967028849756463,0.0,0.00048807087651378506,0.0,0.25,2669,2669,0.0
LayerChangeCount,0.007868115399025852,0.0,0.007809134024220561,0.0,1.0,2669,2669,0.0
HopStabilityDuration,3.988010490820532,4.0,0.018596827476108326,2.0,4.0,2669,2669,0.0
RSSI_mean,-51.91884600974147,-66.0,817.8169347997413,-77.0,0.0,2669,2669,0.0
RSSI_var,9.85396777819408,0.16,9728.84501262415,0.0,1386.24,2669,2669,0.0
RSSI_stability,3.926564256275759,4.0,0.2172438509108128,0.0,4.0,2669,2669,0.0
RSSI_Hop_Diff,2.5077557137504685,1.7999999999999972,34.38946381436483,0.0,75.0,2669,2669,0.0
LatencyHopRatio,13.637499618541586,9.173933333333334,432.55583586583384,2.950454545454545,248.299,943,2669,0.6466841513675534
ConsistencyScore,0.27200948256264035,6.24999961784667e-08,0.19495135716586018,5.8823526050133523e-08,1.0,402,2669,0.8493817909329336
TunnelIntensity,,,,,,0,2669,1.0
TunnelBytes,,,,,,0,2669,1.0
TunnelLatency,,,,,,0,2669,1.0
