,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.14929755087978022,-0.6278702472113024,,,,,0.2549646106111075,-0.11472518386291554,0.06628656898588647,0.2549646106111066,,-0.1281483371638095
IngressEgressDelta,-0.14929755087978022,1.0,0.7850088123537421,,,,,-0.016039109411976258,0.08728310742446212,-0.01453115844757728,-0.01603910941197461,,0.9289009355301957
RetryRate,-0.6278702472113024,0.7850088123537421,1.0,,-0.009911283432679037,-0.009911283432679037,0.009401594648257149,-0.0035717399791002965,-0.01008937532512546,0.00024727066221836723,0.38668282070624205,,0.5991197975979659
PDR,,,,1.0,0.04299480367666016,0.04299480367666016,-0.04078155230284266,0.1476423199767408,0.05175861927508695,-0.04264521108627702,-0.013498172785408205,-0.07140865587180811,
ParentSwitchRate,,,-0.009911283432679037,0.04299480367666016,1.0,1.0,-0.9485748956850734,0.01079205691507868,0.7055071719433176,-0.5270415450356214,0.11239343130324563,-0.026571587373452485,
LayerChangeCount,,,-0.009911283432679037,0.04299480367666016,1.0,1.0,-0.9485748956850734,0.01079205691507868,0.7055071719433176,-0.5270415450356214,0.11239343130324563,-0.026571587373452485,
HopStabilityDuration,,,0.009401594648257149,-0.04078155230284266,-0.9485748956850734,-0.9485748956850734,1.0,-0.015541569209197956,-0.6922272096758371,0.4999383786038632,-0.1288131047289965,0.0247768054133651,
RSSI_mean,0.2549646106111075,-0.016039109411976258,-0.0035717399791002965,0.1476423199767408,0.01079205691507868,0.01079205691507868,-0.015541569209197956,1.0,0.0274914225209667,0.04103258840878486,-0.12357413742916597,-0.08590691376649537,-0.13961641152054458
RSSI_var,-0.11472518386291554,0.08728310742446212,-0.01008937532512546,0.05175861927508695,0.7055071719433176,0.7055071719433176,-0.6922272096758371,0.0274914225209667,1.0,-0.6478206847114801,0.18130321101242922,-0.026157660965444134,0.10369721469670452
RSSI_stability,0.06628656898588647,-0.01453115844757728,0.00024727066221836723,-0.04264521108627702,-0.5270415450356214,-0.5270415450356214,0.4999383786038632,0.04103258840878486,-0.6478206847114801,1.0,-0.13321009805294845,0.003268541713524276,-0.05390193480054376
RSSI_Hop_Diff,0.2549646106111066,-0.01603910941197461,0.38668282070624205,-0.013498172785408205,0.11239343130324563,0.11239343130324563,-0.1288131047289965,-0.12357413742916597,0.18130321101242922,-0.13321009805294845,1.0,0.057209470987552045,-0.13961641152054738
LatencyHopRatio,,,,-0.07140865587180811,-0.026571587373452485,-0.026571587373452485,0.0247768054133651,-0.08590691376649537,-0.026157660965444134,0.003268541713524276,0.057209470987552045,1.0,
ConsistencyScore,-0.1281483371638095,0.9289009355301957,0.5991197975979659,,,,,-0.13961641152054458,0.10369721469670452,-0.05390193480054376,-0.13961641152054738,,1.0
