,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.7969722027779476,-0.7217718445403518,,,,,0.21072965893597204,-0.15657109023318297,0.08323281576698714,0.21072965893597204,,-0.9109395576949275
IngressEgressDelta,-0.7969722027779476,1.0,0.8645628579435631,,,,,-0.21577711273388098,0.16208740592713342,-0.013792449039401819,-0.21577711273388098,,0.8938965858405796
RetryRate,-0.7217718445403518,0.8645628579435631,1.0,,-0.010032196795425339,-0.010032196795425339,0.010032190258734027,0.14949036452327044,0.08313050262398922,0.0028197300574026043,0.28144857802303724,,0.7065872611305953
PDR,,,,1.0,0.046282965595541514,0.046282965595541514,-0.04628289956451036,0.023630939731244496,-0.0822273864936625,-0.01927458043896246,-0.17017435792159236,-0.18299185294998557,
ParentSwitchRate,,,-0.010032196795425339,0.046282965595541514,1.0,1.0,-0.9999993484287195,0.03850589772647512,0.08550449919390608,-0.28087667516806064,0.06843500082505138,0.01468272693453001,
LayerChangeCount,,,-0.010032196795425339,0.046282965595541514,1.0,1.0,-0.9999993484287195,0.03850589772647512,0.08550449919390608,-0.28087667516806064,0.06843500082505138,0.01468272693453001,
HopStabilityDuration,,,0.010032190258734027,-0.04628289956451036,-0.9999993484287195,-0.9999993484287195,1.0,-0.03852202023849975,-0.08550455516148667,0.28087649215688576,-0.06845129879458038,-0.014731278547277257,
RSSI_mean,0.21072965893597204,-0.21577711273388098,0.14949036452327044,0.023630939731244496,0.03850589772647512,0.03850589772647512,-0.03852202023849975,1.0,-0.2940930277407198,0.03748807132227513,-0.1411679173656486,-0.21143030665705198,-0.1907426576794127
RSSI_var,-0.15657109023318297,0.16208740592713342,0.08313050262398922,-0.0822273864936625,0.08550449919390608,0.08550449919390608,-0.08550455516148667,-0.2940930277407198,1.0,-0.30249824534738384,0.4174313529873374,-0.018149757258437826,0.18607089847461383
RSSI_stability,0.08323281576698714,-0.013792449039401819,0.0028197300574026043,-0.01927458043896246,-0.28087667516806064,-0.28087667516806064,0.28087649215688576,0.03748807132227513,-0.30249824534738384,1.0,-0.14130174439870571,-0.06850601907398565,-0.07700025260996862
RSSI_Hop_Diff,0.21072965893597204,-0.21577711273388098,0.28144857802303724,-0.17017435792159236,0.06843500082505138,0.06843500082505138,-0.06845129879458038,-0.1411679173656486,0.4174313529873374,-0.14130174439870571,1.0,0.020151263814188327,-0.1907426576794127
LatencyHopRatio,,,,-0.18299185294998557,0.01468272693453001,0.01468272693453001,-0.014731278547277257,-0.21143030665705198,-0.018149757258437826,-0.06850601907398565,0.020151263814188327,1.0,
ConsistencyScore,-0.9109395576949275,0.8938965858405796,0.7065872611305953,,,,,-0.1907426576794127,0.18607089847461383,-0.07700025260996862,-0.1907426576794127,,1.0
