feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,0.7062744094744778,0.9999999375000038,0.4169100433252984,0.0,5.999999500000042,146,877,0.8335233751425314
IngressEgressDelta,4.473684210526316,0.0,64.4496340188219,0.0,60.0,152,877,0.8266818700114025
RetryRate,0.04113047465042722,0.0,0.03940806228372799,0.0,0.9999999473684238,877,877,0.0
PDR,0.6502529403541342,1.0,0.22431158548067626,0.0,1.0,593,877,0.3238312428734321
ParentSwitchRate,0.0005701254275940707,0.0,0.00014236864987009467,0.0,0.25,877,877,0.0
LayerChangeCount,0.002280501710376283,0.0,0.0022778983979215147,0.0,1.0,877,877,0.0
HopStabilityDuration,3.9965792474344357,4.0,0.005696047651031173,2.0,4.0,877,877,0.0
RSSI_mean,-55.24697833523375,-68.0,718.4322197403975,-76.6,0.0,877,877,0.0
RSSI_var,4.246841505131129,0.16,4183.7783129577265,0.0,1350.0,877,877,0.0
RSSI_stability,3.944127708095781,4.0,0.12815326221083706,0.0,4.0,877,877,0.0
RSSI_Hop_Diff,4.3521094640820985,1.7999999999999972,41.019165065629515,0.0,75.0,877,877,0.0
LatencyHopRatio,43.31530173130194,10.5107,7820.697839370852,1.553,655.9250000000001,361,877,0.588369441277081
ConsistencyScore,0.3656433899690161,6.24999961784667e-08,0.36916264021925566,5.8823526050133523e-08,4.999999500000042,146,877,0.8335233751425314
TunnelIntensity,,,,,,0,877,1.0
TunnelBytes,,,,,,0,877,1.0
TunnelLatency,,,,,,0,877,1.0
