label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,,,,0,96
Baseline,IngressEgressDelta,,,,0,96
Baseline,RetryRate,0.0,0.0,0.0,96,96
Baseline,PDR,,,,0,96
Baseline,ParentSwitchRate,0.0,0.0,0.0,96,96
Baseline,LayerChangeCount,0.0,0.0,0.0,96,96
Baseline,HopStabilityDuration,4.0,4.0,0.0,96,96
Baseline,RSSI_mean,-58.114062499999996,-57.4,2.208142269736843,96,96
Baseline,RSSI_var,1.1284114583333331,0.24,22.564396463130485,96,96
Baseline,RSSI_stability,3.90625,4.0,0.33848684210526314,96,96
Baseline,RSSI_Hop_Diff,1.2098958333333336,0.6000000000000014,1.2441378837719324,96,96
Baseline,LatencyHopRatio,,,,0,96
Baseline,ConsistencyScore,,,,0,96
Baseline,TunnelIntensity,,,,0,96
Baseline,TunnelBytes,,,,0,96
Baseline,TunnelLatency,,,,0,96
Blackhole,ForwardingRatio,,,,0,36
Blackhole,IngressEgressDelta,,,,0,36
Blackhole,RetryRate,0.0,0.0,0.0,36,36
Blackhole,PDR,,,,0,36
Blackhole,ParentSwitchRate,0.0,0.0,0.0,36,36
Blackhole,LayerChangeCount,0.0,0.0,0.0,36,36
Blackhole,HopStabilityDuration,4.0,4.0,0.0,36,36
Blackhole,RSSI_mean,-59.999999999999986,-60.0,5.526857142857141,36,36
Blackhole,RSSI_var,1.1377777777777776,0.24,6.211697777777778,36,36
Blackhole,RSSI_stability,3.861111111111111,4.0,0.3515873015873015,36,36
Blackhole,RSSI_Hop_Diff,2.9555555555555566,2.6000000000000014,3.4951111111111097,36,36
Blackhole,LatencyHopRatio,,,,0,36
Blackhole,ConsistencyScore,,,,0,36
Blackhole,TunnelIntensity,,,,0,36
Blackhole,TunnelBytes,,,,0,36
Blackhole,TunnelLatency,,,,0,36
