window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,_pdr_clipped,Label,missing_firmware_fields
5,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-33.0,0.0,-33.0,-33.0,0.0,False,3.0,False,3.0,False,0.0,0.0,,,,0.0,-33.0,0.0,23.6,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
10,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-33.0,0.0,-33.0,-33.0,0.0,False,3.0,False,3.0,False,0.0,0.0,,,,0.0,-33.0,0.0,23.6,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
15,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-32.2,0.9599999999999997,-34.0,-31.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-32.2,0.9599999999999997,24.4,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
20,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-31.8,0.16,-32.0,-31.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-31.8,0.16,24.8,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
25,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-31.2,0.15999999999999998,-32.0,-31.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-31.2,0.15999999999999998,25.400000000000002,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
30,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-31.2,0.15999999999999998,-32.0,-31.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-31.2,0.15999999999999998,25.400000000000002,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
35,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-31.4,0.24,-32.0,-31.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-31.4,0.24,25.200000000000003,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
40,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.4,0.64,-43.0,-41.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-41.4,0.64,15.200000000000003,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
45,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.0,1.2,-44.0,-41.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-43.0,1.2,13.600000000000001,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
50,NODE_B0CBD8F33218,child_COM21_tree_blackhole_r1_20260715_131931_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-44.0,9.2,-48.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-44.0,9.2,12.600000000000001,,,,,0.0,0,4.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
