feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,,,,,,0,365,1.0
IngressEgressDelta,,,,,,0,365,1.0
RetryRate,0.09863011223744916,0.0,0.0877727995432702,0.0,0.99999980000004,365,365,0.0
PDR,0.7167381875536505,1.0,0.19958931132344504,0.0,1.0,233,365,0.3616438356164383
ParentSwitchRate,0.0,0.0,0.0,0.0,0.0,365,365,0.0
LayerChangeCount,0.0,0.0,0.0,0.0,0.0,365,365,0.0
HopStabilityDuration,3.9917808219178084,4.0,0.00817401776305886,3.0,4.0,365,365,0.0
RSSI_mean,-35.504657534246576,-53.0,720.2097172587686,-60.2,0.0,365,365,0.0
RSSI_var,0.15015068493150682,0.0,0.11251045113277132,0.0,3.04,365,365,0.0
RSSI_stability,3.989041095890411,4.0,0.0108685834713232,3.0,4.0,365,365,0.0
RSSI_Hop_Diff,1.538904109589041,1.1999999999999955,2.675309235285265,0.0,5.800000000000004,365,365,0.0
LatencyHopRatio,,,,,,0,365,1.0
ConsistencyScore,,,,,,0,365,1.0
TunnelIntensity,,,,,,0,365,1.0
TunnelBytes,,,,,,0,365,1.0
TunnelLatency,,,,,,0,365,1.0
