label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,,,,0,257
Baseline,IngressEgressDelta,,,,0,257
Baseline,RetryRate,0.0019455248054475922,0.0,0.0009727621595332564,257,257
Baseline,PDR,0.6832298018633569,1.0,0.21152949870730148,161,257
Baseline,ParentSwitchRate,0.0,0.0,0.0,257,257
Baseline,LayerChangeCount,0.0,0.0,0.0,257,257
Baseline,HopStabilityDuration,3.992217898832685,4.0,0.00775170233463035,257,257
Baseline,RSSI_mean,-34.903112840466925,-53.2,733.1190332411235,257,257
Baseline,RSSI_var,0.16153696498054476,0.0,0.14280509921419016,257,257
Baseline,RSSI_stability,3.9883268482490273,4.0,0.011581955252918287,257,257
Baseline,RSSI_Hop_Diff,1.4622568093385213,0.7999999999999972,2.825972230666345,257,257
Baseline,LatencyHopRatio,,,,0,257
Baseline,ConsistencyScore,,,,0,257
Baseline,TunnelIntensity,,,,0,257
Baseline,TunnelBytes,,,,0,257
Baseline,TunnelLatency,,,,0,257
Blackhole,ForwardingRatio,,,,0,108
Blackhole,IngressEgressDelta,,,,0,108
Blackhole,RetryRate,0.3287036212191565,0.0,0.22038324003047333,108,108
Blackhole,PDR,0.7916666611111123,1.0,0.1672535187793443,72,108
Blackhole,ParentSwitchRate,0.0,0.0,0.0,108,108
Blackhole,LayerChangeCount,0.0,0.0,0.0,108,108
Blackhole,HopStabilityDuration,3.990740740740741,4.0,0.009259259259259257,108,108
Blackhole,RSSI_mean,-36.93611111111112,-52.8,693.1174688473519,108,108
Blackhole,RSSI_var,0.12305555555555557,0.0,0.04002889408099689,108,108
Blackhole,RSSI_stability,3.990740740740741,4.0,0.009259259259259257,108,108
Blackhole,RSSI_Hop_Diff,1.7212962962962963,1.6000000000000014,2.292159051574941,108,108
Blackhole,LatencyHopRatio,,,,0,108
Blackhole,ConsistencyScore,,,,0,108
Blackhole,TunnelIntensity,,,,0,108
Blackhole,TunnelBytes,,,,0,108
Blackhole,TunnelLatency,,,,0,108
