,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency
RetryRate,1.0,0.06402840676063146,0.1018136528936131,0.1018136528936131,-0.0792258065700536,0.10746348315253541,0.09460649464369426,-0.0918593820306065,0.1721247796684367,0.029507983037813726,0.6511434647526118,0.6511434647526126,0.15961807308283527
PDR,0.06402840676063146,1.0,0.012788036995425071,0.012788036995425071,-0.013482055526866979,-0.03669468383451762,0.0044673321775729625,0.0638586003489491,-0.08521821878503424,0.017414619143724823,0.15698575774137336,0.15698575774137336,
ParentSwitchRate,0.1018136528936131,0.012788036995425071,1.0,1.0,-0.8700542600351535,0.036299471023087254,0.9495793928295655,-0.5787254202254484,0.08229454468380215,0.00901174494423424,-0.03464822258889394,-0.03464822258889392,
LayerChangeCount,0.1018136528936131,0.012788036995425071,1.0,1.0,-0.8700542600351535,0.036299471023087254,0.9495793928295655,-0.5787254202254484,0.08229454468380215,0.00901174494423424,-0.03464822258889394,-0.03464822258889392,
HopStabilityDuration,-0.0792258065700536,-0.013482055526866979,-0.8700542600351535,-0.8700542600351535,1.0,-0.04255849113861118,-0.8873713101889276,0.5526497557740323,-0.07528341810511037,-0.005295583512696891,0.03796861347902058,0.0379686134790206,
RSSI_mean,0.10746348315253541,-0.03669468383451762,0.036299471023087254,0.036299471023087254,-0.04255849113861118,1.0,0.035477531337848055,-0.03310114966168469,0.19810774120044738,-0.04782956614588252,-0.06819716344831146,-0.06819716344831167,0.0014048614520474087
RSSI_var,0.09460649464369426,0.0044673321775729625,0.9495793928295655,0.9495793928295655,-0.8873713101889276,0.035477531337848055,1.0,-0.6169952761799546,0.10069963269946422,0.007249008731364771,-0.03798900917704563,-0.037989009177045584,-0.048464200569958475
RSSI_stability,-0.0918593820306065,0.0638586003489491,-0.5787254202254484,-0.5787254202254484,0.5526497557740323,-0.03310114966168469,-0.6169952761799546,1.0,-0.1779264732859901,0.002305827608356858,0.014641467777852888,0.014641467777852947,0.0360322696015619
RSSI_Hop_Diff,0.1721247796684367,-0.08521821878503424,0.08229454468380215,0.08229454468380215,-0.07528341810511037,0.19810774120044738,0.10069963269946422,-0.1779264732859901,1.0,-0.012706154389335766,-0.015147634045144265,-0.015147634045144312,0.0003595208243383527
LatencyHopRatio,0.029507983037813726,0.017414619143724823,0.00901174494423424,0.00901174494423424,-0.005295583512696891,-0.04782956614588252,0.007249008731364771,0.002305827608356858,-0.012706154389335766,1.0,0.17441461235309016,0.1744146123530901,0.040135942118636504
TunnelIntensity,0.6511434647526118,0.15698575774137336,-0.03464822258889394,-0.03464822258889394,0.03796861347902058,-0.06819716344831146,-0.03798900917704563,0.014641467777852888,-0.015147634045144265,0.17441461235309016,1.0,0.9999999999999993,0.13277712319722249
TunnelBytes,0.6511434647526126,0.15698575774137336,-0.03464822258889392,-0.03464822258889392,0.0379686134790206,-0.06819716344831167,-0.037989009177045584,0.014641467777852947,-0.015147634045144312,0.1744146123530901,0.9999999999999993,1.0,0.13277712319722254
TunnelLatency,0.15961807308283527,,,,,0.0014048614520474087,-0.048464200569958475,0.0360322696015619,0.0003595208243383527,0.040135942118636504,0.13277712319722249,0.13277712319722254,1.0
