,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency
RetryRate,1.0,0.06984939047491594,0.10126022861907424,0.10126022861907424,-0.07265430486704307,0.08707214360648291,0.030875049234191522,-0.07502051978687876,0.11158471458465313,0.11541899778074723,0.65324294146457,0.65324294146457,0.15966845081020636
PDR,0.06984939047491594,1.0,0.013342942594482505,0.013342942594482505,-0.014620892490642575,0.0333117104668541,-0.01026780901472205,0.061196374118792196,-0.0010713063794617417,0.07438606568355428,0.166273850847042,0.166273850847042,
ParentSwitchRate,0.10126022861907424,0.013342942594482505,1.0,1.0,-0.7748051419871628,0.04671011193056288,0.08898179437191349,-0.32742885534874955,0.07545464947894172,0.03777740293045728,-0.03480752479970907,-0.03480752479970907,
LayerChangeCount,0.10126022861907424,0.013342942594482505,1.0,1.0,-0.7748051419871628,0.04671011193056288,0.08898179437191349,-0.32742885534874955,0.07545464947894172,0.03777740293045728,-0.03480752479970907,-0.03480752479970907,
HopStabilityDuration,-0.07265430486704307,-0.014620892490642575,-0.7748051419871628,-0.7748051419871628,1.0,-0.04966242659641341,-0.051139457495535154,0.4172163126001782,-0.05199393362205835,-0.007148446797011404,0.040215792384232986,0.040215792384232986,
RSSI_mean,0.08707214360648291,0.0333117104668541,0.04671011193056288,0.04671011193056288,-0.04966242659641341,1.0,-0.29854270291602436,-0.04390321664694384,-0.18752276068278873,-0.19683742914587057,-0.07205140627943847,-0.07205140627943847,-0.023740051070452545
RSSI_var,0.030875049234191522,-0.01026780901472205,0.08898179437191349,0.08898179437191349,-0.051139457495535154,-0.29854270291602436,1.0,-0.24369821286934942,0.30553446373176385,-0.05290099122706488,0.1136990847977058,0.1136990847977058,0.10343847527969106
RSSI_stability,-0.07502051978687876,0.061196374118792196,-0.32742885534874955,-0.32742885534874955,0.4172163126001782,-0.04390321664694384,-0.24369821286934942,1.0,-0.1296025051056115,0.034080538886318956,-0.0008449850495054843,-0.0008449850495054843,-0.0784815608030241
RSSI_Hop_Diff,0.11158471458465313,-0.0010713063794617417,0.07545464947894172,0.07545464947894172,-0.05199393362205835,-0.18752276068278873,0.30553446373176385,-0.1296025051056115,1.0,0.15412701930153438,-0.015887150857037454,-0.015887150857037454,0.011310670128660664
LatencyHopRatio,0.11541899778074723,0.07438606568355428,0.03777740293045728,0.03777740293045728,-0.007148446797011404,-0.19683742914587057,-0.05290099122706488,0.034080538886318956,0.15412701930153438,1.0,0.38849214805927296,0.38849214805927296,0.4763705001234313
TunnelIntensity,0.65324294146457,0.166273850847042,-0.03480752479970907,-0.03480752479970907,0.040215792384232986,-0.07205140627943847,0.1136990847977058,-0.0008449850495054843,-0.015887150857037454,0.38849214805927296,1.0,1.0,0.1604132202448165
TunnelBytes,0.65324294146457,0.166273850847042,-0.03480752479970907,-0.03480752479970907,0.040215792384232986,-0.07205140627943847,0.1136990847977058,-0.0008449850495054843,-0.015887150857037454,0.38849214805927296,1.0,1.0,0.1604132202448165
TunnelLatency,0.15966845081020636,,,,,-0.023740051070452545,0.10343847527969106,-0.0784815608030241,0.011310670128660664,0.4763705001234313,0.1604132202448165,0.1604132202448165,1.0
