feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,,,,,,0,132,1.0
IngressEgressDelta,,,,,,0,132,1.0
RetryRate,0.0,0.0,0.0,0.0,0.0,132,132,0.0
PDR,,,,,,0,132,1.0
ParentSwitchRate,0.0,0.0,0.0,0.0,0.0,132,132,0.0
LayerChangeCount,0.0,0.0,0.0,0.0,0.0,132,132,0.0
HopStabilityDuration,4.0,4.0,0.0,4.0,4.0,132,132,0.0
RSSI_mean,-66.8409090909091,-66.8,0.8932755031228319,-70.0,-65.0,132,132,0.0
RSSI_var,0.41393939393939394,0.24,0.2964026833217672,0.0,2.56,132,132,0.0
RSSI_stability,4.0,4.0,0.0,4.0,4.0,132,132,0.0
RSSI_Hop_Diff,0.8075757575757556,0.7000000000000028,0.432003238491787,0.0,3.5999999999999943,132,132,0.0
LatencyHopRatio,,,,,,0,132,1.0
ConsistencyScore,,,,,,0,132,1.0
TunnelIntensity,,,,,,0,132,1.0
TunnelBytes,,,,,,0,132,1.0
TunnelLatency,,,,,,0,132,1.0
