label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,,,,0,96
Baseline,IngressEgressDelta,,,,0,96
Baseline,RetryRate,0.0,0.0,0.0,96,96
Baseline,PDR,,,,0,96
Baseline,ParentSwitchRate,0.0,0.0,0.0,96,96
Baseline,LayerChangeCount,0.0,0.0,0.0,96,96
Baseline,HopStabilityDuration,4.0,4.0,0.0,96,96
Baseline,RSSI_mean,-66.68541666666667,-66.4,1.0524166666666672,96,96
Baseline,RSSI_var,0.4283333333333334,0.24,0.3225571929824561,96,96
Baseline,RSSI_stability,4.0,4.0,0.0,96,96
Baseline,RSSI_Hop_Diff,0.785416666666666,0.6000000000000085,0.5113640350877177,96,96
Baseline,LatencyHopRatio,,,,0,96
Baseline,ConsistencyScore,,,,0,96
Baseline,TunnelIntensity,,,,0,96
Baseline,TunnelBytes,,,,0,96
Baseline,TunnelLatency,,,,0,96
Wormhole,ForwardingRatio,,,,0,36
Wormhole,IngressEgressDelta,,,,0,36
Wormhole,RetryRate,0.0,0.0,0.0,36,36
Wormhole,PDR,,,,0,36
Wormhole,ParentSwitchRate,0.0,0.0,0.0,36,36
Wormhole,LayerChangeCount,0.0,0.0,0.0,36,36
Wormhole,HopStabilityDuration,4.0,4.0,0.0,36,36
Wormhole,RSSI_mean,-67.25555555555555,-67.2,0.2436825396825409,36,36
Wormhole,RSSI_var,0.3755555555555556,0.24,0.23179682539682536,36,36
Wormhole,RSSI_stability,4.0,4.0,0.0,36,36
Wormhole,RSSI_Hop_Diff,0.8666666666666613,0.7999999999999972,0.224000000000001,36,36
Wormhole,LatencyHopRatio,,,,0,36
Wormhole,ConsistencyScore,,,,0,36
Wormhole,TunnelIntensity,,,,0,36
Wormhole,TunnelBytes,,,,0,36
Wormhole,TunnelLatency,,,,0,36
