window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id
0,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.6,0.24,-68,-67,0,False,5,False,5,False,0,0
5,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.2,0.16,-68,-67,0,False,4,False,4,False,0,0
10,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.2,0.16,-68,-67,0,False,4,False,4,False,0,0
15,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.8,0.16,-67,-66,0,False,5,False,5,False,0,0
20,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-68.2,1.3599999999999999,-70,-67,0,False,4,False,4,False,0,0
25,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-68.2,0.16,-69,-68,0,False,4,False,4,False,0,0
30,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-68.8,2.1599999999999997,-71,-67,0,False,4,False,4,False,0,0
35,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.2,2.1599999999999997,-69,-65,0,False,4,False,4,False,0,0
40,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.0,0.0,-65,-65,0,False,4,False,4,False,0,0
45,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.4,0.24,-66,-65,0,False,4,False,4,False,0,0
50,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.0,0.0,-65,-65,0,False,4,False,4,False,0,0
55,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.0,0.0,-65,-65,0,False,4,False,4,False,0,0
60,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,2.2399999999999998,-68,-64,0,False,4,False,4,False,0,0
65,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0
70,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0
75,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.2,0.16,-67,-66,0,False,4,False,4,False,0,0
80,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.4,0.24,-66,-65,0,False,4,False,4,False,0,0
85,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0
90,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,1.04,-67,-64,0,False,4,False,4,False,0,0
95,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0
100,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0
105,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0
110,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.4,-67,-65,0,False,4,False,4,False,0,0
115,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.8,0.16,-66,-65,0,False,4,False,4,False,0,0
120,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0
125,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0
130,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.8,0.16,-66,-65,0,False,4,False,4,False,0,0
135,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.4,0.24,-66,-65,0,False,4,False,4,False,0,0
140,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0
