,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency
RetryRate,1.0,0.06817183630576935,-0.014786862721995676,-0.014786862721995676,0.01402469088972737,-0.10252999449168966,-0.013656907088675648,-0.04247788430759685,-0.045535786665693606,0.02446230707902729,0.6535510845233191,0.653551084523319,0.1927012149040925
PDR,0.06817183630576935,1.0,0.015431516851705355,0.015431516851705355,-0.014637013439992578,0.05851410688687962,0.016223614847525308,-0.028470292211796158,0.06207788343808228,0.021574105569183127,0.17173912984505785,0.17173912984505763,0.14821550942134729
ParentSwitchRate,-0.014786862721995676,0.015431516851705355,1.0,1.0,-0.9484561501248219,0.02084192483722613,0.47441994417462346,-0.3994991626501785,0.5534058817595189,,-0.06871995189846865,-0.06871995189846859,
LayerChangeCount,-0.014786862721995676,0.015431516851705355,1.0,1.0,-0.9484561501248219,0.02084192483722613,0.47441994417462346,-0.3994991626501785,0.5534058817595189,,-0.06871995189846865,-0.06871995189846859,
HopStabilityDuration,0.01402469088972737,-0.014637013439992578,-0.9484561501248219,-0.9484561501248219,1.0,-0.0376752033814987,-0.6015766572302771,0.5079790335229348,-0.44077967395164197,,0.06514760815468951,0.06514760815468948,
RSSI_mean,-0.10252999449168966,0.05851410688687962,0.02084192483722613,0.02084192483722613,-0.0376752033814987,1.0,0.054490787242762975,-0.021785158762326663,-0.1692604562373737,-0.017474924852021848,-0.15791356822704045,-0.15791356822704064,0.04297571899637972
RSSI_var,-0.013656907088675648,0.016223614847525308,0.47441994417462346,0.47441994417462346,-0.6015766572302771,0.054490787242762975,1.0,-0.8123168766837028,0.38448810436738756,-0.02013151309087733,-0.06757247357594862,-0.0675724735759486,0.10421704392930856
RSSI_stability,-0.04247788430759685,-0.028470292211796158,-0.3994991626501785,-0.3994991626501785,0.5079790335229348,-0.021785158762326663,-0.8123168766837028,1.0,-0.30328846487116806,0.015839495774543164,0.02520494450312734,0.02520494450312738,-0.0841502681168914
RSSI_Hop_Diff,-0.045535786665693606,0.06207788343808228,0.5534058817595189,0.5534058817595189,-0.44077967395164197,-0.1692604562373737,0.38448810436738756,-0.30328846487116806,1.0,-0.006992730053769311,-0.06164895589461052,-0.0616489558946106,-0.1034338118108579
LatencyHopRatio,0.02446230707902729,0.021574105569183127,,,,-0.017474924852021848,-0.02013151309087733,0.015839495774543164,-0.006992730053769311,1.0,0.0011549031407041225,0.0011549031407041164,0.30298930536588226
TunnelIntensity,0.6535510845233191,0.17173912984505785,-0.06871995189846865,-0.06871995189846865,0.06514760815468951,-0.15791356822704045,-0.06757247357594862,0.02520494450312734,-0.06164895589461052,0.0011549031407041225,1.0,1.0,0.15206681423389057
TunnelBytes,0.653551084523319,0.17173912984505763,-0.06871995189846859,-0.06871995189846859,0.06514760815468948,-0.15791356822704064,-0.0675724735759486,0.02520494450312738,-0.0616489558946106,0.0011549031407041164,1.0,1.0,0.1520668142338906
TunnelLatency,0.1927012149040925,0.14821550942134729,,,,0.04297571899637972,0.10421704392930856,-0.0841502681168914,-0.1034338118108579,0.30298930536588226,0.15206681423389057,0.1520668142338906,1.0
