,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency
RetryRate,1.0,0.003392643110371737,-0.01486314765143969,-0.01486314765143969,0.01486310521973384,-0.066736204120121,0.1775237074192033,-0.05189366714576725,0.041418987742982215,0.228215709122664,0.656168061630698,0.656168061630698,0.07843356796606926
PDR,0.003392643110371737,1.0,0.020964672956860508,0.020964672956860508,-0.02096463976849924,-0.01921726097252131,0.019696710343778494,-0.044751196656137776,0.13347780392690645,-0.07809584105912906,0.13971451248806158,0.13971451248806158,0.15108236796222702
ParentSwitchRate,-0.01486314765143969,0.020964672956860508,1.0,1.0,-0.9999971451736306,0.023795234375137454,0.02722715863704185,-0.2394546155604285,0.12012784023562802,,-0.0693383909614408,-0.0693383909614408,
LayerChangeCount,-0.01486314765143969,0.020964672956860508,1.0,1.0,-0.9999971451736306,0.023795234375137454,0.02722715863704185,-0.2394546155604285,0.12012784023562802,,-0.0693383909614408,-0.0693383909614408,
HopStabilityDuration,0.01486310521973384,-0.02096463976849924,-0.9999971451736306,-0.9999971451736306,1.0,-0.023924671851664265,-0.02746087747942135,0.24004846541527958,-0.12012612221945414,,0.06933669554262617,0.06933669554262617,
RSSI_mean,-0.066736204120121,-0.01921726097252131,0.023795234375137454,0.023795234375137454,-0.023924671851664265,1.0,-0.2669952108692424,-0.06751944476342364,-0.20995729235517446,-0.41912513802648166,-0.174545625701844,-0.174545625701844,0.035877722528440986
RSSI_var,0.1775237074192033,0.019696710343778494,0.02722715863704185,0.02722715863704185,-0.02746087747942135,-0.2669952108692424,1.0,-0.25568050911586315,0.21764859315160434,0.1833768719835613,0.12772278340154958,0.12772278340154958,0.18727143214961897
RSSI_stability,-0.05189366714576725,-0.044751196656137776,-0.2394546155604285,-0.2394546155604285,0.24004846541527958,-0.06751944476342364,-0.25568050911586315,1.0,-0.08760803340960749,0.009799628374548258,0.011359566306127653,0.011359566306127653,-0.0447773662839645
RSSI_Hop_Diff,0.041418987742982215,0.13347780392690645,0.12012784023562802,0.12012784023562802,-0.12012612221945414,-0.20995729235517446,0.21764859315160434,-0.08760803340960749,1.0,-0.2678252070726422,0.04367965879745752,0.04367965879745752,-0.07579465885147467
LatencyHopRatio,0.228215709122664,-0.07809584105912906,,,,-0.41912513802648166,0.1833768719835613,0.009799628374548258,-0.2678252070726422,1.0,0.36366852743663736,0.36366852743663736,0.6443812233285917
TunnelIntensity,0.656168061630698,0.13971451248806158,-0.0693383909614408,-0.0693383909614408,0.06933669554262617,-0.174545625701844,0.12772278340154958,0.011359566306127653,0.04367965879745752,0.36366852743663736,1.0,1.0,0.08166514500233321
TunnelBytes,0.656168061630698,0.13971451248806158,-0.0693383909614408,-0.0693383909614408,0.06933669554262617,-0.174545625701844,0.12772278340154958,0.011359566306127653,0.04367965879745752,0.36366852743663736,1.0,1.0,0.08166514500233321
TunnelLatency,0.07843356796606926,0.15108236796222702,,,,0.035877722528440986,0.18727143214961897,-0.0447773662839645,-0.07579465885147467,0.6443812233285917,0.08166514500233321,0.08166514500233321,1.0
