feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,,,,,,0,839,1.0
IngressEgressDelta,,,,,,0,839,1.0
RetryRate,0.021607352927906925,0.0,0.010241003328537399,0.0,0.499999950000005,839,839,0.0
PDR,0.9400532752886346,1.0,0.05389554875322569,0.0,1.0,563,839,0.32896305125148984
ParentSwitchRate,0.0011918951132300357,0.0,0.00029690704640426005,0.0,0.25,839,839,0.0
LayerChangeCount,0.004767580452920143,0.0,0.004750512742468161,0.0,1.0,839,839,0.0
HopStabilityDuration,3.9928486293206196,4.0,0.01188197109298773,2.0,4.0,839,839,0.0
RSSI_mean,-55.13230035756853,-65.6,668.7007096185083,-75.2,0.0,839,839,0.0
RSSI_var,5.506936829558999,0.16,5530.621499794335,0.0,1142.64,839,839,0.0
RSSI_stability,3.9570917759237187,4.0,0.11510179466975402,0.0,4.0,839,839,0.0
RSSI_Hop_Diff,3.350655542312277,1.2000000000000028,30.31770541700684,0.0,69.0,839,839,0.0
LatencyHopRatio,13.754280071306937,4.7718,3051.19634423831,0.6682,542.602,522,839,0.3778307508939214
ConsistencyScore,,,,,,0,839,1.0
TunnelIntensity,0.19930555555555557,0.0,0.11888453348819203,0.0,1.0,288,839,0.6567342073897497
TunnelBytes,29.895833333333332,0.0,2674.9020034843206,0.0,150.0,288,839,0.6567342073897497
TunnelLatency,9.22115,8.9242,3.4960214058333334,5.320399999999999,14.5294,37,839,0.9558998808104887
