label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,,,,0,623
Baseline,IngressEgressDelta,,,,0,623
Baseline,RetryRate,0.00032102722311397753,0.0,6.420543178170917e-05,623,623
Baseline,PDR,0.9194510615453487,1.0,0.07079897996661515,419,623
Baseline,ParentSwitchRate,0.0016051364365971107,0.0,0.00039934865524662844,623,623
Baseline,LayerChangeCount,0.006420545746388443,0.0,0.006389578483946055,623,623
Baseline,HopStabilityDuration,3.990369181380417,4.0,0.015984268630679265,623,623
Baseline,RSSI_mean,-54.85168539325842,-65.6,675.5132728783555,623,623
Baseline,RSSI_var,7.253033707865169,0.16,7438.802368756096,623,623
Baseline,RSSI_stability,3.955056179775281,4.0,0.13302503703168467,623,623
Baseline,RSSI_Hop_Diff,3.4333868378812205,1.2000000000000028,35.51258127616089,623,623
Baseline,LatencyHopRatio,15.930842144326865,5.21685,3743.61710028846,378,623
Baseline,ConsistencyScore,,,,0,623
Baseline,TunnelIntensity,0.0027777777777777783,0.0,0.000922480620155039,216,623
Baseline,TunnelBytes,0.4166666666666667,0.0,20.75581395348837,216,623
Baseline,TunnelLatency,8.673279166666667,8.446,1.5718666097537877,12,623
Wormhole,ForwardingRatio,,,,0,216
Wormhole,IngressEgressDelta,,,,0,216
Wormhole,RetryRate,0.08300263493756435,0.0,0.03463047775002677,216,216
Wormhole,PDR,0.9999999944444455,1.0,1.0878006530910392e-15,144,216
Wormhole,ParentSwitchRate,0.0,0.0,0.0,216,216
Wormhole,LayerChangeCount,0.0,0.0,0.0,216,216
Wormhole,HopStabilityDuration,4.0,4.0,0.0,216,216
Wormhole,RSSI_mean,-55.94166666666666,-65.9,651.2157441860465,216,216
Wormhole,RSSI_var,0.4707407407407408,0.16,1.6178636347975879,216,216
Wormhole,RSSI_stability,3.962962962962963,4.0,0.06373815676141258,216,216
Wormhole,RSSI_Hop_Diff,3.112037037037038,1.3999999999999917,15.352784668389324,216,216
Wormhole,LatencyHopRatio,8.040804629629628,3.6175500000000005,1201.6657022149282,144,216
Wormhole,ConsistencyScore,,,,0,216
Wormhole,TunnelIntensity,0.7888888888888889,0.8,0.007762128325508609,72,216
Wormhole,TunnelBytes,118.33333333333333,120.0,174.64788732394365,72,216
Wormhole,TunnelLatency,9.484128,9.2424,4.301473032933333,25,216
