,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency
RetryRate,1.0,0.0944905667476939,0.07998152958820998,0.07998152958820998,-0.07052059866629758,0.2095013745495287,0.13519664069194284,-0.055879126718446116,0.0670468972420528,-0.01096770962756771,0.6569975777158014,0.6569975777158013,-0.1166166323335644
PDR,0.0944905667476939,1.0,0.026818742581801114,0.026818742581801114,-0.00277116623039544,0.06859032407257036,0.025010923495726728,0.029188147456008163,0.018764707856186825,0.016657432584360508,0.18905029576945612,0.18905029576945628,
ParentSwitchRate,0.07998152958820998,0.026818742581801114,1.0,1.0,-0.8989098725333212,0.0003976949534373636,0.5345538650526195,-0.33661167578447765,0.3704652639915095,-0.005736766715689306,-0.06499754641020647,-0.06499754641020646,
LayerChangeCount,0.07998152958820998,0.026818742581801114,1.0,1.0,-0.8989098725333212,0.0003976949534373636,0.5345538650526195,-0.33661167578447765,0.3704652639915095,-0.005736766715689306,-0.06499754641020647,-0.06499754641020646,
HopStabilityDuration,-0.07052059866629758,-0.00277116623039544,-0.8989098725333212,-0.8989098725333212,1.0,0.0034863641082748358,-0.5761617610989869,0.35748472891763555,-0.35068993678867316,0.006213424311795641,0.06690157414725874,0.0669015741472587,
RSSI_mean,0.2095013745495287,0.06859032407257036,0.0003976949534373636,0.0003976949534373636,0.0034863641082748358,1.0,0.03622785959711238,0.11203629286238978,-0.325831178218191,-0.14362283355001193,-0.11053601104126452,-0.11053601104126459,-0.008965067948304819
RSSI_var,0.13519664069194284,0.025010923495726728,0.5345538650526195,0.5345538650526195,-0.5761617610989869,0.03622785959711238,1.0,-0.5624311273133917,0.3402466291548741,-0.003456837834365998,-0.06501145908447081,-0.06501145908447095,-0.0775110153365477
RSSI_stability,-0.055879126718446116,0.029188147456008163,-0.33661167578447765,-0.33661167578447765,0.35748472891763555,0.11203629286238978,-0.5624311273133917,1.0,-0.2777690399460439,0.012007281797461676,0.046298579722061424,0.046298579722061466,0.08957398349446437
RSSI_Hop_Diff,0.0670468972420528,0.018764707856186825,0.3704652639915095,0.3704652639915095,-0.35068993678867316,-0.325831178218191,0.3402466291548741,-0.2777690399460439,1.0,0.08135174900610008,-0.05505169346690342,-0.05505169346690345,0.05933964287237503
LatencyHopRatio,-0.01096770962756771,0.016657432584360508,-0.005736766715689306,-0.005736766715689306,0.006213424311795641,-0.14362283355001193,-0.003456837834365998,0.012007281797461676,0.08135174900610008,1.0,0.13168834333635474,0.13168834333635476,0.5178054528228528
TunnelIntensity,0.6569975777158014,0.18905029576945612,-0.06499754641020647,-0.06499754641020647,0.06690157414725874,-0.11053601104126452,-0.06501145908447081,0.046298579722061424,-0.05505169346690342,0.13168834333635474,1.0,0.9999999999999998,-0.11045618500672284
TunnelBytes,0.6569975777158013,0.18905029576945628,-0.06499754641020646,-0.06499754641020646,0.0669015741472587,-0.11053601104126459,-0.06501145908447095,0.046298579722061466,-0.05505169346690345,0.13168834333635476,0.9999999999999998,1.0,-0.11045618500672282
TunnelLatency,-0.1166166323335644,,,,,-0.008965067948304819,-0.0775110153365477,0.08957398349446437,0.05933964287237503,0.5178054528228528,-0.11045618500672284,-0.11045618500672282,1.0
