,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency
RetryRate,1.0,0.10030701789485522,0.0914295641545238,0.0914295641545238,-0.09159861137291396,0.0773701291448161,-0.04414032212047352,-0.031219203165497554,-0.029815838107934096,0.15671100821472822,0.6608030666560449,0.6608030666560449,-0.06276579369469935
PDR,0.10030701789485522,1.0,0.028425854187370352,0.028425854187370352,0.006550300973134023,0.02060954449371426,-0.06892569148309577,0.016617244256878813,0.004182345854807478,0.04301537800143366,0.18153989830643324,0.18153989830643324,
ParentSwitchRate,0.0914295641545238,0.028425854187370352,1.0,1.0,-0.8944174830457166,0.0310550777459754,0.07461774708646819,-0.20525511220185863,0.12401062435231808,0.027109904295937508,-0.06518232356672933,-0.06518232356672933,
LayerChangeCount,0.0914295641545238,0.028425854187370352,1.0,1.0,-0.8944174830457166,0.0310550777459754,0.07461774708646819,-0.20525511220185863,0.12401062435231808,0.027109904295937508,-0.06518232356672933,-0.06518232356672933,
HopStabilityDuration,-0.09159861137291396,0.006550300973134023,-0.8944174830457166,-0.8944174830457166,1.0,-0.02278267514113933,-0.08724631412074609,0.25300129265800003,-0.12595142311084132,-0.03316265669821198,0.07094120311030944,0.07094120311030944,
RSSI_mean,0.0773701291448161,0.02060954449371426,0.0310550777459754,0.0310550777459754,-0.02278267514113933,1.0,-0.570789391661188,0.22849096894141016,-0.6350055654183946,-0.31910637088062327,-0.009018360478977422,-0.009018360478977422,-0.028237559937182955
RSSI_var,-0.04414032212047352,-0.06892569148309577,0.07461774708646819,0.07461774708646819,-0.08724631412074609,-0.570789391661188,1.0,-0.4602501377598312,0.49058306996577594,0.053284688915223394,0.026080022102131728,0.026080022102131728,0.003269448840801544
RSSI_stability,-0.031219203165497554,0.016617244256878813,-0.20525511220185863,-0.20525511220185863,0.25300129265800003,0.22849096894141016,-0.4602501377598312,1.0,-0.2508029367530464,-0.0002889719964039058,0.011201213015031531,0.011201213015031531,0.15358385508154304
RSSI_Hop_Diff,-0.029815838107934096,0.004182345854807478,0.12401062435231808,0.12401062435231808,-0.12595142311084132,-0.6350055654183946,0.49058306996577594,-0.2508029367530464,1.0,0.07276598401821242,0.05434125800755822,0.05434125800755822,0.1239747071068633
LatencyHopRatio,0.15671100821472822,0.04301537800143366,0.027109904295937508,0.027109904295937508,-0.03316265669821198,-0.31910637088062327,0.053284688915223394,-0.0002889719964039058,0.07276598401821242,1.0,0.3539425593054549,0.3539425593054549,0.4319582740635372
TunnelIntensity,0.6608030666560449,0.18153989830643324,-0.06518232356672933,-0.06518232356672933,0.07094120311030944,-0.009018360478977422,0.026080022102131728,0.011201213015031531,0.05434125800755822,0.3539425593054549,1.0,1.0,-0.06310270693011436
TunnelBytes,0.6608030666560449,0.18153989830643324,-0.06518232356672933,-0.06518232356672933,0.07094120311030944,-0.009018360478977422,0.026080022102131728,0.011201213015031531,0.05434125800755822,0.3539425593054549,1.0,1.0,-0.06310270693011436
TunnelLatency,-0.06276579369469935,,,,,-0.028237559937182955,0.003269448840801544,0.15358385508154304,0.1239747071068633,0.4319582740635372,-0.06310270693011436,-0.06310270693011436,1.0
