feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,,,,,,0,2531,1.0
IngressEgressDelta,,,,,,0,2531,1.0
RetryRate,0.05178703637074647,0.0,0.037980873391317435,0.0,0.99999980000004,2531,2531,0.0
PDR,0.9213153247210807,1.0,0.0725359890453913,0.0,1.0,1703,2531,0.327143421572501
ParentSwitchRate,0.0020742789411299883,0.0,0.0005638774844106986,0.0,0.5,2531,2531,0.0
LayerChangeCount,0.008297115764519953,0.0,0.009022039750571177,0.0,2.0,2531,2531,0.0
HopStabilityDuration,3.9861714737258,4.0,0.02154782671162174,2.0,4.0,2531,2531,0.0
RSSI_mean,-54.716712761754245,-65.8,769.4192205731927,-88.8,0.0,2531,2531,0.0
RSSI_var,9.651700908731728,0.24,8461.781419007939,0.0,1521.0,2531,2531,0.0
RSSI_stability,3.832477281706835,4.0,0.4209369041279439,0.0,4.0,2531,2531,0.0
RSSI_Hop_Diff,4.083445278546029,2.5999999999999943,44.01656970639174,0.0,74.0,2531,2531,0.0
LatencyHopRatio,13.475148464532117,5.96125,1616.2004942782341,1.3534666666666666,520.7742307692308,1464,2531,0.4215725009877519
ConsistencyScore,,,,,,0,2531,1.0
TunnelIntensity,0.1997703788748565,0.0,0.12096546445491375,0.0,1.0,871,2531,0.6558672461477677
TunnelBytes,29.965556831228472,0.0,2721.72295023556,0.0,150.0,871,2531,0.6558672461477677
TunnelLatency,14.321048986486488,13.581133333333334,5.44000582079433,10.7366,21.74393333333333,111,2531,0.9561438166732517
