label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,,,,0,1881
Baseline,IngressEgressDelta,,,,0,1881
Baseline,RetryRate,0.040953382903009525,0.0,0.038761328019569885,1881,1881
Baseline,PDR,0.8944050417651698,1.0,0.09451914462566514,1269,1881
Baseline,ParentSwitchRate,0.0027910685805422647,0.0,0.000756833452102209,1881,1881
Baseline,LayerChangeCount,0.011164274322169059,0.0,0.012109335233635344,1881,1881
Baseline,HopStabilityDuration,3.981392876129718,4.0,0.028908909927946886,1881,1881
Baseline,RSSI_mean,-53.86634768740032,-65.4,799.7591408556449,1881,1881
Baseline,RSSI_var,12.543654970760235,0.24,11351.587352810946,1881,1881
Baseline,RSSI_stability,3.8192450824029773,4.0,0.4758209191579853,1881,1881
Baseline,RSSI_Hop_Diff,4.2759170653907494,2.5999999999999943,55.045948959075645,1881,1881
Baseline,LatencyHopRatio,15.30471949419857,6.8668,1965.141948597487,1030,1881
Baseline,ConsistencyScore,,,,0,1881
Baseline,TunnelIntensity,0.00030581039755351685,0.0,6.116207951070337e-05,654,1881
Baseline,TunnelBytes,0.045871559633027525,0.0,1.376146788990825,654,1881
Baseline,TunnelLatency,14.648326494427558,14.087466666666668,6.500928873022708,47,1881
Wormhole,ForwardingRatio,,,,0,650
Wormhole,IngressEgressDelta,,,,0,650
Wormhole,RetryRate,0.0831379627904591,0.0,0.034454039020305235,650,650
Wormhole,PDR,1.0,1.0,0.0,434,650
Wormhole,ParentSwitchRate,0.0,0.0,0.0,650,650
Wormhole,LayerChangeCount,0.0,0.0,0.0,650,650
Wormhole,HopStabilityDuration,4.0,4.0,0.0,650,650
Wormhole,RSSI_mean,-57.17753846153846,-67.0,674.5563514045277,650,650
Wormhole,RSSI_var,1.282830769230769,0.24,9.347492744814508,650,650
Wormhole,RSSI_stability,3.870769230769231,4.0,0.2606234443522579,650,650
Wormhole,RSSI_Hop_Diff,3.5264615384615383,2.799999999999997,11.716802560151713,650,650
Wormhole,LatencyHopRatio,9.13307897016243,5.156866666666666,763.8338560570476,434,650
Wormhole,ConsistencyScore,,,,0,650
Wormhole,TunnelIntensity,0.8009216589861751,0.8,0.003517665130568356,217,650
Wormhole,TunnelBytes,120.13824884792626,120.0,79.14746543778803,217,650
Wormhole,TunnelLatency,14.08070456659226,13.581133333333334,4.61312265553307,64,650
