,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency
RetryRate,1.0,0.153037046091942,0.011107699547138267,0.011107699547138267,-0.005602918962518664,0.261235964946127,0.019415964796278332,0.03012727324592393,-0.24420529870557253,0.026048153986527198,0.6538681647772941,0.6538681647772944,0.3770198715896462
PDR,0.153037046091942,1.0,0.03134030184769711,0.03134030184769711,-0.031340301847695116,0.2143507849619675,0.028873265608784827,-0.08112557810314865,0.03110943169504266,-0.3936412924450547,0.03754656522886619,0.0375465652288661,-0.02522969889937809
ParentSwitchRate,0.011107699547138267,0.03134030184769711,1.0,1.0,-0.8940007656164407,-0.012413785733709898,0.851181061057701,-0.4402386265498687,0.1470202513585644,-0.012841626227465631,-0.028406315859353888,-0.028406315859353912,
LayerChangeCount,0.011107699547138267,0.03134030184769711,1.0,1.0,-0.8940007656164407,-0.012413785733709898,0.851181061057701,-0.4402386265498687,0.1470202513585644,-0.012841626227465631,-0.028406315859353888,-0.028406315859353912,
HopStabilityDuration,-0.005602918962518664,-0.031340301847695116,-0.8940007656164407,-0.8940007656164407,1.0,0.017977591921684105,-0.7608662529440489,0.4252251589243601,-0.15382367387424412,0.012841626227464454,0.0402347357704962,0.04023473577049613,
RSSI_mean,0.261235964946127,0.2143507849619675,-0.012413785733709898,-0.012413785733709898,0.017977591921684105,1.0,-0.01435092860147319,0.10855690679218866,-0.5722061506426035,-0.0773422360919706,-0.2154689888175932,-0.21546898881759335,0.28433156428259543
RSSI_var,0.019415964796278332,0.028873265608784827,0.851181061057701,0.851181061057701,-0.7608662529440489,-0.01435092860147319,1.0,-0.5271520906571283,0.18227502997101044,-0.012216570849366762,-0.027840818089787858,-0.027840818089787826,-0.12538127344180303
RSSI_stability,0.03012727324592393,-0.08112557810314865,-0.4402386265498687,-0.4402386265498687,0.4252251589243601,0.10855690679218866,-0.5271520906571283,1.0,-0.15827691448927994,0.027950945575707608,0.03305611294597165,0.03305611294597163,0.06231710418858407
RSSI_Hop_Diff,-0.24420529870557253,0.03110943169504266,0.1470202513585644,0.1470202513585644,-0.15382367387424412,-0.5722061506426035,0.18227502997101044,-0.15827691448927994,1.0,-0.11659986702028527,0.03139727566105266,0.031397275661052854,-0.2843315642825955
LatencyHopRatio,0.026048153986527198,-0.3936412924450547,-0.012841626227465631,-0.012841626227465631,0.012841626227464454,-0.0773422360919706,-0.012216570849366762,0.027950945575707608,-0.11659986702028527,1.0,-0.06749321224226086,-0.06749321224226086,0.2019598586956719
TunnelIntensity,0.6538681647772941,0.03754656522886619,-0.028406315859353888,-0.028406315859353888,0.0402347357704962,-0.2154689888175932,-0.027840818089787858,0.03305611294597165,0.03139727566105266,-0.06749321224226086,1.0,1.0,0.36037394263198613
TunnelBytes,0.6538681647772944,0.0375465652288661,-0.028406315859353912,-0.028406315859353912,0.04023473577049613,-0.21546898881759335,-0.027840818089787826,0.03305611294597163,0.031397275661052854,-0.06749321224226086,1.0,1.0,0.36037394263198613
TunnelLatency,0.3770198715896462,-0.02522969889937809,,,,0.28433156428259543,-0.12538127344180303,0.06231710418858407,-0.2843315642825955,0.2019598586956719,0.36037394263198613,0.36037394263198613,1.0
