window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id
0,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-60.6,6.240000000000001,-63.0,-56.0,0.0,False,0.0,False,4.0,False,0.0,0.0
5,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-62.0,0.4,-63.0,-61.0,0.0,False,0.0,False,4.0,False,0.0,0.0
10,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-62.0,0.0,-62.0,-62.0,0.0,False,0.0,False,4.0,False,0.0,0.0
15,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-62.0,0.0,-62.0,-62.0,0.0,False,0.0,False,4.0,False,0.0,0.0
20,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,-1.0,00:00:00:00:00:00,5,5,-62.0,0.0,-62.0,-62.0,0.0,False,0.0,False,4.0,False,0.0,0.0
25,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,-1.0,00:00:00:00:00:00,5,5,-24.8,922.5600000000001,-62.0,0.0,0.0,False,0.0,False,4.0,False,0.0,0.0
30,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.2,2.5599999999999996,-58.0,-53.0,0.0,False,4.0,False,4.0,False,0.0,0.0
35,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.4,5.44,-57.0,-50.0,0.0,False,4.0,False,4.0,False,0.0,0.0
40,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-56.0,1.2,-58.0,-55.0,0.0,False,4.0,False,4.0,False,0.0,0.0
45,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.0,0.0,-55.0,-55.0,0.0,False,4.0,False,4.0,False,0.0,0.0
50,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.2,0.16,-56.0,-55.0,0.0,False,4.0,False,4.0,False,0.0,0.0
55,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-56.2,0.5599999999999999,-57.0,-55.0,0.0,False,4.0,False,4.0,False,0.0,0.0
60,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.0,4.0,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0
65,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.2,5.36,-57.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0
70,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.4,0.6399999999999999,-56.0,-54.0,0.0,False,4.0,False,4.0,False,0.0,0.0
75,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,4,5,-56.25,0.1875,-57.0,-56.0,0.0,False,3.0,False,3.0,False,0.0,0.0
80,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.0,2.4,-56.0,-52.0,0.0,False,4.0,False,4.0,False,0.0,0.0
85,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.8,0.96,-57.0,-54.0,0.0,False,4.0,False,4.0,False,0.0,0.0
90,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.8,0.16,-56.0,-55.0,0.0,False,4.0,False,4.0,False,0.0,0.0
95,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.8,0.96,-57.0,-54.0,0.0,False,4.0,False,4.0,False,0.0,0.0
100,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.4,3.04,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0
105,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.6,3.44,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0
