timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
5996269,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6039686,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6089623,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6139620,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6199628,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6249610,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6309622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6359618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6419611,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6470418,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6529614,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6579622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6639611,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6689770,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,0,0,0,0
6749624,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
6799624,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
6859608,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
6909622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
6969611,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7019618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7079618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7129614,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7189626,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7240122,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7299618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7349612,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7409624,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7459608,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7519624,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-49,0,1,1,0,0
7569607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-49,0,1,1,0,0
7629618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7679622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,1,1,0,0
7739972,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
7789607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
7849622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
7899618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
7959607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8009624,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8069757,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8119624,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8179620,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8229618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8289618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8339618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8399611,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8449618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8509614,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8559618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8619853,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8669612,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,2,2,0,0
8729624,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
8779616,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
8839616,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
8889611,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
8949622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
8999607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9060394,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9109630,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9169622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9219618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9279626,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9329612,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9389620,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9439620,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9499612,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9549618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9609615,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9659618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9719622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,3,3,0,0
9769618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,4,4,0,0
9829611,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,4,4,0,0
9879618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,4,4,0,0
9939614,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
9989620,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10049628,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10099608,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10159628,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10209621,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10269626,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10319607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10379622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10429607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10489622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10539607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,5,5,0,0
10599622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-50,0,5,5,0,0
10649608,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-50,0,5,5,0,0
10709628,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-49,0,5,5,0,0
10759612,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-49,0,6,6,0,0
10819628,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-49,0,6,6,0,0
10869618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-49,0,6,6,0,0
10929614,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-49,0,7,7,0,0
10979622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11039607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11089622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11149611,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11199622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11259618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11309620,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11369608,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11419624,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11479620,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11529618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11589626,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11639607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11699626,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,7,7,0,0
11749614,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,8,8,0,0
11809622,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,8,8,0,0
11859607,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-48,0,8,8,0,0
11919618,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-47,0,8,8,0,0
11969612,NODE_B4BFE932FE90,blackhole,2,F4:2D:C9:73:E6:19,-47,0,9,9,0,0
