timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
2436940,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,1,0,0,B0:CB:D8:F3:32:18,10,-45662697
2837455,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,2,0,0,B4:BF:E9:32:FE:90,12,-39872224
3144986,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,3,0,0,B4:BF:E9:34:ED:80,12,-27014649
3438131,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,4,0,0,B0:CB:D8:F3:32:18,11,-45681549
3848606,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,5,0,0,B4:BF:E9:32:FE:90,13,-39891178
4145599,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,6,0,0,B4:BF:E9:34:ED:80,13,-27034036
4463139,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,7,0,0,B0:CB:D8:F3:32:18,12,-45676598
4862033,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,8,0,0,B4:BF:E9:32:FE:90,14,-39898568
5173609,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,9,0,0,B4:BF:E9:34:ED:80,14,-27016189
5467913,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,10,0,0,B0:CB:D8:F3:32:18,13,-45701731
5869813,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,11,0,0,B4:BF:E9:32:FE:90,15,-39899837
6190210,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,12,0,0,B4:BF:E9:34:ED:80,15,-27029649
6465634,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,13,0,0,B0:CB:D8:F3:32:18,14,-45704006
6880414,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,14,0,0,B4:BF:E9:32:FE:90,16,-39899391
7195214,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,15,0,0,B4:BF:E9:34:ED:80,16,-27034427
7467098,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,16,0,0,B0:CB:D8:F3:32:18,15,-45702547
7901747,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,17,0,0,B4:BF:E9:32:FE:90,17,-39888108
8199797,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,18,0,0,B4:BF:E9:34:ED:80,17,-27039844
8466293,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,19,0,0,B0:CB:D8:F3:32:18,16,-45703350
8915133,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,20,0,0,B4:BF:E9:32:FE:90,18,-39908527
9203508,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,21,0,0,B4:BF:E9:34:ED:80,18,-27036848
9465941,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,22,0,0,B0:CB:D8:F3:32:18,17,-45703694
9955737,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,23,0,0,B4:BF:E9:32:FE:90,19,-39907416
10207844,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,24,0,0,B4:BF:E9:34:ED:80,19,-27041803
10487343,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,25,0,0,B0:CB:D8:F3:32:18,18,-45682513
10984260,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,26,0,0,B4:BF:E9:32:FE:90,20,-39885695
11231969,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,27,0,0,B4:BF:E9:34:ED:80,20,-27017730
11496347,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,28,0,0,B0:CB:D8:F3:32:18,19,-45693297
11991177,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,29,0,0,B4:BF:E9:32:FE:90,21,-39898643
12251290,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,30,0,0,B4:BF:E9:34:ED:80,21,-27028455
12510214,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,31,0,0,B0:CB:D8:F3:32:18,20,-45689477
12999494,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,32,0,0,B4:BF:E9:32:FE:90,22,-39905853
13275349,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,33,0,0,B4:BF:E9:34:ED:80,22,-27014316
13516726,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,34,0,0,B0:CB:D8:F3:32:18,21,-45702914
14064315,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,35,0,0,B4:BF:E9:32:FE:90,23,-39895323
14278478,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,36,0,0,B4:BF:E9:34:ED:80,23,-27041165
14543427,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,37,0,0,B0:CB:D8:F3:32:18,22,-45676251
15085229,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,38,0,0,B4:BF:E9:32:FE:90,24,-39884595
15304989,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,39,0,0,B4:BF:E9:34:ED:80,24,-27014699
15548018,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,40,0,0,B0:CB:D8:F3:32:18,23,-45701627
16101899,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,41,0,0,B4:BF:E9:32:FE:90,25,-39897736
16308991,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,42,0,0,B4:BF:E9:34:ED:80,25,-27040659
16545854,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,43,0,0,B0:CB:D8:F3:32:18,24,-45703795
17124181,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,44,0,0,B4:BF:E9:32:FE:90,26,-39885570
17311759,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,45,0,0,B4:BF:E9:34:ED:80,26,-27037881
17557040,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,46,0,0,B0:CB:D8:F3:32:18,25,-45692595
18137702,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,47,0,0,B4:BF:E9:32:FE:90,27,-39902252
18326315,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,48,0,0,B4:BF:E9:34:ED:80,27,-27023320
18556083,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,49,0,0,B0:CB:D8:F3:32:18,26,-45703556
19140027,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,50,0,0,B4:BF:E9:32:FE:90,28,-39909611
19324587,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,51,0,0,B4:BF:E9:34:ED:80,28,-27035056
19569620,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,52,0,0,B0:CB:D8:F3:32:18,27,-45690195
20152076,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,53,0,0,B4:BF:E9:32:FE:90,29,-39897562
20338126,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,54,0,0,B4:BF:E9:34:ED:80,29,-27031510
20571004,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,55,0,0,B0:CB:D8:F3:32:18,28,-45698635
21165243,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,56,0,0,B4:BF:E9:32:FE:90,30,-39894537
21342777,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,57,0,0,B4:BF:E9:34:ED:80,30,-27036878
21571824,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,58,0,0,B0:CB:D8:F3:32:18,29,-45697811
22175812,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,59,0,0,B4:BF:E9:32:FE:90,31,-39893847
22405051,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,60,0,0,B4:BF:E9:34:ED:80,31,-26974877
22568647,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,61,0,0,B0:CB:D8:F3:32:18,30,-45700990
23180473,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,62,0,0,B4:BF:E9:32:FE:90,32,-39909161
23370106,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,63,0,0,B4:BF:E9:34:ED:80,32,-27039537
23573214,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,64,0,0,B0:CB:D8:F3:32:18,31,-45696426
24187569,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,65,0,0,B4:BF:E9:32:FE:90,33,-39902070
24375750,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,66,0,0,B4:BF:E9:34:ED:80,33,-27033889
24577627,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,67,0,0,B0:CB:D8:F3:32:18,32,-45702021
25190105,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,68,0,0,B4:BF:E9:32:FE:90,34,-39909530
25408859,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,69,0,0,B4:BF:E9:34:ED:80,34,-27018911
25686094,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,70,0,0,B0:CB:D8:F3:32:18,33,-45593544
26227938,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,71,0,0,B4:BF:E9:32:FE:90,35,-39871799
26431384,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,72,0,0,B4:BF:E9:34:ED:80,35,-27024586
26585924,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,73,0,0,B0:CB:D8:F3:32:18,34,-45703712
27241550,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,74,0,0,B4:BF:E9:32:FE:90,36,-39898225
27451706,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,75,0,0,B4:BF:E9:34:ED:80,36,-27017933
27586078,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,76,0,0,B0:CB:D8:F3:32:18,35,-45703557
28277433,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,77,0,0,B4:BF:E9:32:FE:90,37,-39872293
28450350,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,78,0,0,B4:BF:E9:34:ED:80,37,-27039297
28586452,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,79,0,0,B0:CB:D8:F3:32:18,36,-45703197
29279776,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,80,0,0,B4:BF:E9:32:FE:90,38,-39909870
29448102,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,81,0,0,B4:BF:E9:34:ED:80,38,-27041541
29603198,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,82,0,0,B0:CB:D8:F3:32:18,37,-45686450
30313369,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,83,0,0,B4:BF:E9:32:FE:90,39,-39876266
30453758,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,84,0,0,B4:BF:E9:34:ED:80,39,-27035880
30597640,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,85,0,0,B0:CB:D8:F3:32:18,38,-45702003
31353720,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,86,0,0,B4:BF:E9:32:FE:90,40,-39865994
31488718,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,87,0,0,B4:BF:E9:34:ED:80,40,-27010922
31605891,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,88,0,0,B0:CB:D8:F3:32:18,39,-45693873
32379038,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,89,0,0,B4:BF:E9:32:FE:90,41,-39884700
32494108,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,90,0,0,B4:BF:E9:34:ED:80,41,-27015641
32638254,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,91,0,0,B0:CB:D8:F3:32:18,40,-45674847
33409480,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,92,0,0,B4:BF:E9:32:FE:90,42,-39880389
33530558,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,93,0,0,B4:BF:E9:34:ED:80,42,-27039191
33637686,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,94,0,0,B0:CB:D8:F3:32:18,41,-45701951
34409849,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,95,0,0,B4:BF:E9:32:FE:90,43,-39909789
34571127,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,96,0,0,B4:BF:E9:34:ED:80,43,-26998729
34636534,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,97,0,0,B0:CB:D8:F3:32:18,42,-45703111
35452892,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,98,0,0,B4:BF:E9:32:FE:90,44,-39868795
35598109,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,99,0,0,B4:BF:E9:34:ED:80,44,-27038083
35637742,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,100,0,0,B0:CB:D8:F3:32:18,43,-45701906
36450675,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,101,0,0,B4:BF:E9:32:FE:90,45,-39908963
36642487,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,102,0,0,B4:BF:E9:34:ED:80,45,-26997152
36670746,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,103,0,0,B0:CB:D8:F3:32:18,44,-45668919
37449768,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,104,0,0,B4:BF:E9:32:FE:90,46,-39909870
37629012,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,105,0,0,B4:BF:E9:34:ED:80,46,-27020753
37838608,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,106,0,0,B0:CB:D8:F3:32:18,45,-45531029
38485389,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,107,0,0,B4:BF:E9:32:FE:90,47,-39907406
38669215,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,108,0,0,B4:BF:E9:34:ED:80,47,-27033911
38682656,NODE_F42DC973E618,root,1,00:00:00:00:00:00,0,0,0,109,0,0,B0:CB:D8:F3:32:18,46,-45696990
