timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
63545243,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
63637689,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
63737691,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
63837693,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
63947696,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
64047691,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
64157695,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
64257835,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
64367693,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
64467695,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
64577691,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
64677689,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
64787693,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
64887691,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
64997691,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
65097689,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
65207697,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
65307706,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
65417691,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
65517689,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
65627689,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
65727695,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
65837695,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
65937689,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
66047686,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
66147695,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
66257699,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
66357689,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
