timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2200636,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2249537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2299533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2349537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2399533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2459537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2509533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2569533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2619854,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2679533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2739537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2789533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2839537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2899533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2949537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3009533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3059547,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3209541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3259537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3319533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3379537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3429533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3479537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3539540,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3589533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3649537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3699533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
