timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2116538,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,0,0,0,0
2159552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
2209544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
2259544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
2319548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
2369548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
2429548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
2479544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
2679552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
2729544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
2789552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,1,1,0,0
2839544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,1,1,0,0
2899552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,1,1,0,0
2949544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,1,1,0,0
3009548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,1,1,0,0
3059548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
3120370,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,1,1,0,0
3169552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,2,2,0,0
3229544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,2,2,0,0
3279544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,2,2,0,0
3339544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,2,2,0,0
3389548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3449548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3499548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3559880,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3609544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3799556,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,2,2,0,0
3849541,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,2,2,0,0
3909548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,2,2,0,0
3959540,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,2,2,0,0
4019552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,2,2,0,0
4069540,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,2,2,0,0
4129544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,3,3,0,0
4179544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,3,3,0,0
4239552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,3,3,0,0
4289544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,3,3,0,0
4349548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,3,3,0,0
4399548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,3,3,0,0
4459548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,3,3,0,0
4509544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,3,3,0,0
4569548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,3,3,0,0
4619544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,3,3,0,0
4809556,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,3,3,0,0
4859540,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-54,0,3,3,0,0
4919544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,3,3,0,0
4969540,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,3,3,0,0
5029552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,3,3,0,0
5079556,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,3,3,0,0
5139548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,4,4,0,0
5189544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-56,0,4,4,0,0
5249548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5299544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5359552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5409540,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5469548,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5519552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5579540,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5629552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5689540,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5739552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5929552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
5979544,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
6039552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
6089540,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,4,4,0,0
6149552,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,5,5,0,0
6199540,NODE_B4BFE932FE90,victim,2,B0:CB:D8:F3:32:19,-53,0,5,5,0,0
