timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
3944541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3989533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4039984,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4089533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4139541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4199533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4249537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4309720,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4359541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4419533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4479537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4529533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4579537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4639533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4689537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4749537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4799539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4859541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
4909533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
4969537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
5029533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
5079547,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
5129533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
5279541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
5329537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
5389541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
5439533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
