timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
3188241,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0,F4:2D:C9:73:E6:18,2,-1361329
4189761,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0,F4:2D:C9:73:E6:18,3,-1359814
4248084,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0,B4:BF:E9:34:ED:80,1,2254750
5198637,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0,F4:2D:C9:73:E6:18,4,-1351022
5241967,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,0,0,B4:BF:E9:34:ED:80,2,2252391
6201407,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,6,0,0,F4:2D:C9:73:E6:18,5,-1358167
6227781,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,7,0,0,B4:BF:E9:34:ED:80,3,2238227
7199722,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,8,0,0,F4:2D:C9:73:E6:18,6,-1359850
7240375,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,9,0,0,B4:BF:E9:34:ED:80,4,2250822
8203197,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,0,0,F4:2D:C9:73:E6:18,7,-1356369
8227920,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,0,0,B4:BF:E9:34:ED:80,5,2238355
9198629,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,12,0,0,F4:2D:C9:73:E6:18,8,-1360941
9236991,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,13,0,0,B4:BF:E9:34:ED:80,6,2247434
10201023,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,14,0,0,F4:2D:C9:73:E6:18,9,-1358544
10234107,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,15,0,0,B4:BF:E9:34:ED:80,7,2244546
11200758,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,16,0,0,F4:2D:C9:73:E6:18,10,-1358809
11233392,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,17,0,0,B4:BF:E9:34:ED:80,8,2243835
12202062,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,18,0,0,F4:2D:C9:73:E6:18,11,-1357505
12228641,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,19,0,0,B4:BF:E9:34:ED:80,9,2239076
13211886,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,20,0,0,F4:2D:C9:73:E6:18,12,-1347686
13314617,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,21,0,0,B4:BF:E9:34:ED:80,10,2325044
14217119,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,0,0,F4:2D:C9:73:E6:18,13,-1352549
14269497,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,23,0,0,B4:BF:E9:34:ED:80,11,2260569
15221531,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,24,0,0,F4:2D:C9:73:E6:18,14,-1358035
15257509,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,25,0,0,B4:BF:E9:34:ED:80,12,2257855
16218928,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,26,0,0,F4:2D:C9:73:E6:18,15,-1360643
16267509,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,27,0,0,B4:BF:E9:34:ED:80,13,2257890
17220048,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,28,0,0,F4:2D:C9:73:E6:18,16,-1359520
17321844,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,29,0,0,B4:BF:E9:34:ED:80,14,2291761
18226601,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,30,0,0,F4:2D:C9:73:E6:18,17,-1352965
18273885,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,31,0,0,B4:BF:E9:34:ED:80,15,2244322
19226207,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,32,0,0,F4:2D:C9:73:E6:18,18,-1353429
19408887,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,33,0,0,B4:BF:E9:34:ED:80,16,2379330
20230912,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,34,0,0,F4:2D:C9:73:E6:18,19,-1359417
20267341,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,35,0,0,B4:BF:E9:34:ED:80,17,2237778
21227744,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,36,0,0,F4:2D:C9:73:E6:18,20,-1361822
21271737,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,37,0,0,B4:BF:E9:34:ED:80,18,2242180
22228265,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,38,0,0,F4:2D:C9:73:E6:18,21,-1361301
22286226,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,39,0,0,B4:BF:E9:34:ED:80,19,2256673
23241906,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,40,0,0,F4:2D:C9:73:E6:18,22,-1347662
23305151,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,41,0,0,B4:BF:E9:34:ED:80,20,2275598
24243692,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,42,0,0,F4:2D:C9:73:E6:18,23,-1355878
24278807,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,43,0,0,B4:BF:E9:34:ED:80,21,2249248
25238405,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,44,0,0,F4:2D:C9:73:E6:18,24,-1361166
25268745,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,45,0,0,B4:BF:E9:34:ED:80,22,2239178
26239485,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,46,0,0,F4:2D:C9:73:E6:18,25,-1360082
26294702,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,47,0,0,B4:BF:E9:34:ED:80,23,2265139
27242587,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,48,0,0,F4:2D:C9:73:E6:18,26,-1356979
27285191,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,49,0,0,B4:BF:E9:34:ED:80,24,2255628
28240553,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,50,0,0,F4:2D:C9:73:E6:18,27,-1359013
28268306,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,51,0,0,B4:BF:E9:34:ED:80,25,2238743
29245207,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,52,0,0,F4:2D:C9:73:E6:18,28,-1354368
29316392,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,53,0,0,B4:BF:E9:34:ED:80,26,2286839
30238385,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,54,0,0,F4:2D:C9:73:E6:18,29,-1361181
30278753,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,55,0,0,B4:BF:E9:34:ED:80,27,2249188
31238751,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,56,0,0,F4:2D:C9:73:E6:18,30,-1360823
31268715,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,57,0,0,B4:BF:E9:34:ED:80,28,2239152
32237693,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,58,0,0,F4:2D:C9:73:E6:18,31,-1361878
32304249,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,59,0,0,B4:BF:E9:34:ED:80,29,2274686
33248423,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,60,0,0,F4:2D:C9:73:E6:18,32,-1351147
33266908,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,61,0,0,B4:BF:E9:34:ED:80,30,2237343
34248632,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,62,0,0,F4:2D:C9:73:E6:18,33,-1360942
34295486,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,63,0,0,B4:BF:E9:34:ED:80,31,2265934
35249359,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,64,0,0,F4:2D:C9:73:E6:18,34,-1360207
35267822,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,65,0,0,B4:BF:E9:34:ED:80,32,2238259
36252275,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,66,0,0,F4:2D:C9:73:E6:18,35,-1357297
36280439,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,67,0,0,B4:BF:E9:34:ED:80,33,2250873
