timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
5287472,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0,70:4B:CA:25:B7:68,5,-62300276
5418961,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0,F4:2D:C9:73:E6:18,8,-65288779
6289762,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0,70:4B:CA:25:B7:68,6,-62317988
6581924,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0,F4:2D:C9:73:E6:18,9,-65125825
7285288,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0,70:4B:CA:25:B7:68,7,-62322458
7582332,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0,F4:2D:C9:73:E6:18,10,-65295408
8286682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0,70:4B:CA:25:B7:68,8,-62321064
8592390,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0,F4:2D:C9:73:E6:18,11,-65285364
9284604,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0,70:4B:CA:25:B7:68,9,-62323145
9583600,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0,F4:2D:C9:73:E6:18,12,-65294140
10291841,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0,70:4B:CA:25:B7:68,10,-62315905
10587624,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0,F4:2D:C9:73:E6:18,13,-65290117
11289486,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0,70:4B:CA:25:B7:68,11,-62318259
11584664,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,14,0,0,F4:2D:C9:73:E6:18,14,-65293077
12290721,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0,70:4B:CA:25:B7:68,12,-62317024
12583801,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0,F4:2D:C9:73:E6:18,15,-65293948
13286934,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0,70:4B:CA:25:B7:68,13,-62320816
13587266,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,18,0,0,F4:2D:C9:73:E6:18,16,-65290474
14288345,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0,70:4B:CA:25:B7:68,14,-62319400
14583852,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0,F4:2D:C9:73:E6:18,17,-65293889
15287460,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0,70:4B:CA:25:B7:68,15,-62320289
15581037,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,22,0,0,F4:2D:C9:73:E6:18,18,-65296703
16287918,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0,70:4B:CA:25:B7:68,16,-62319836
16586335,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0,F4:2D:C9:73:E6:18,19,-65291405
17292224,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,25,0,0,70:4B:CA:25:B7:68,17,-62315525
17582336,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,26,0,0,F4:2D:C9:73:E6:18,20,-65295405
18286854,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,27,0,0,70:4B:CA:25:B7:68,18,-62320891
18588783,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,28,0,0,F4:2D:C9:73:E6:18,21,-65288957
19301064,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,29,0,0,70:4B:CA:25:B7:68,19,-62306682
19583074,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,30,0,0,F4:2D:C9:73:E6:18,22,-65294666
20286625,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,31,0,0,70:4B:CA:25:B7:68,20,-62321120
20583727,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,32,0,0,F4:2D:C9:73:E6:18,23,-65294022
21293830,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,33,0,0,70:4B:CA:25:B7:68,21,-62313919
21586030,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,34,0,0,F4:2D:C9:73:E6:18,24,-65291710
22286940,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,35,0,0,70:4B:CA:25:B7:68,22,-62320806
22582440,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,36,0,0,F4:2D:C9:73:E6:18,25,-65295300
23288913,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,37,0,0,70:4B:CA:25:B7:68,23,-62318832
23605109,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,38,0,0,F4:2D:C9:73:E6:18,26,-65272632
24015548,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,39,0,0,B4:BF:E9:34:ED:80,1,-72849869
24287786,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,40,0,0,70:4B:CA:25:B7:68,24,-62319959
24582699,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,41,0,0,F4:2D:C9:73:E6:18,27,-65295041
24910549,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,42,0,0,B4:BF:E9:34:ED:80,2,-73037201
25293754,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,43,0,0,70:4B:CA:25:B7:68,25,-62313997
25591210,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,44,0,0,F4:2D:C9:73:E6:18,28,-65286530
25933813,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,45,0,0,B4:BF:E9:34:ED:80,3,-73013937
26288334,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,46,0,0,70:4B:CA:25:B7:68,26,-62319411
26592953,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,47,0,0,F4:2D:C9:73:E6:18,29,-65294787
26986228,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,48,0,0,B4:BF:E9:34:ED:80,4,-72961527
27296864,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,49,0,0,70:4B:CA:25:B7:68,27,-62310882
27594321,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,50,0,0,F4:2D:C9:73:E6:18,30,-65293429
27971730,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,51,0,0,B4:BF:E9:34:ED:80,5,-72976021
28304895,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,52,0,0,70:4B:CA:25:B7:68,28,-62312850
28592566,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,53,0,0,F4:2D:C9:73:E6:18,31,-65295182
28940800,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,54,0,0,B4:BF:E9:34:ED:80,6,-73006950
29296967,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,55,0,0,70:4B:CA:25:B7:68,29,-62320779
29594776,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,56,0,0,F4:2D:C9:73:E6:18,32,-65292973
29952307,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,57,0,0,B4:BF:E9:34:ED:80,7,-72995445
30303349,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,58,0,0,70:4B:CA:25:B7:68,30,-62314396
30592609,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,59,0,0,F4:2D:C9:73:E6:18,33,-65295132
30933327,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,60,0,0,B4:BF:E9:34:ED:80,8,-73014430
31300631,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,61,0,0,70:4B:CA:25:B7:68,31,-62317122
31597478,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,62,0,0,F4:2D:C9:73:E6:18,34,-65290533
31918641,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,63,0,0,B4:BF:E9:34:ED:80,9,-73029110
32140958,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,64,0,0,B4:BF:E9:32:FE:90,1,-62307578
32301801,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,65,0,0,70:4B:CA:25:B7:68,32,-62315945
32592346,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,66,0,0,F4:2D:C9:73:E6:18,35,-65295402
32924383,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,67,0,0,B4:BF:E9:34:ED:80,10,-73023368
33138754,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,68,0,0,B4:BF:E9:32:FE:90,2,-62308986
33297122,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,69,0,0,70:4B:CA:25:B7:68,33,-62320631
33592982,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,70,0,0,F4:2D:C9:73:E6:18,36,-65294759
33913454,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,71,0,0,B4:BF:E9:34:ED:80,11,-73034296
34139609,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,72,0,0,B4:BF:E9:32:FE:90,3,-62308134
34297688,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,73,0,0,70:4B:CA:25:B7:68,34,-62320057
34597841,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,74,0,0,F4:2D:C9:73:E6:18,37,-65289899
34912987,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,75,0,0,B4:BF:E9:34:ED:80,12,-73034763
35128901,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,76,0,0,B4:BF:E9:32:FE:90,4,-62318839
35300129,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,77,0,0,70:4B:CA:25:B7:68,35,-62317625
35596942,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,78,0,0,F4:2D:C9:73:E6:18,38,-65290810
35916891,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,79,0,0,B4:BF:E9:34:ED:80,13,-73030868
36127738,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,80,0,0,B4:BF:E9:32:FE:90,5,-62320002
36300545,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,81,0,0,70:4B:CA:25:B7:68,36,-62317200
36664939,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,82,0,0,F4:2D:C9:73:E6:18,39,-65222802
36913989,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,83,0,0,B4:BF:E9:34:ED:80,14,-73033765
37158782,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,84,0,0,B4:BF:E9:32:FE:90,6,-62288960
37298107,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,85,0,0,70:4B:CA:25:B7:68,37,-62319638
37661718,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,86,0,0,F4:2D:C9:73:E6:18,40,-65296022
37914376,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,87,0,0,B4:BF:E9:34:ED:80,15,-73033374
38136802,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,88,0,0,B4:BF:E9:32:FE:90,7,-62310946
38300948,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,89,0,0,70:4B:CA:25:B7:68,38,-62316798
38662620,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,90,0,0,F4:2D:C9:73:E6:18,41,-65295132
38926313,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,91,0,0,B4:BF:E9:34:ED:80,16,-73021590
39129770,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,92,0,0,B4:BF:E9:32:FE:90,8,-62317970
39298838,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,93,0,0,70:4B:CA:25:B7:68,39,-62318915
39673411,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,94,0,0,F4:2D:C9:73:E6:18,42,-65284330
39911327,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,95,0,0,B4:BF:E9:34:ED:80,17,-73036867
40133333,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,96,0,0,B4:BF:E9:32:FE:90,9,-62314408
40301466,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,97,0,0,70:4B:CA:25:B7:68,40,-62316279
40675828,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,98,0,0,F4:2D:C9:73:E6:18,43,-65291921
40915405,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,99,0,0,B4:BF:E9:34:ED:80,18,-73032349
41134523,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,100,0,0,B4:BF:E9:32:FE:90,10,-62313225
41297651,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,101,0,0,70:4B:CA:25:B7:68,41,-62320095
