timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
4682730,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4777683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4877686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
4977686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
5077687,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5187687,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5287682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5397690,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5497683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5607687,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5717686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5817694,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5917687,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
6028051,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
6127686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
6237686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
6337687,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
6447691,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
6547682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
6657686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
6767682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
6867695,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
6967682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
7077690,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
7177683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
7287687,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
7387690,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
7497686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
7597683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
7707695,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
7817694,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
7917682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
8017683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
8127927,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8227693,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8337690,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8437683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8547691,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8647686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8757690,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
8867694,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
8967695,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
9077686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
9177686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
9287686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
9387687,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
9497686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
9597697,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
9707694,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0
9808007,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,14,0,0
9907996,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
10007686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
10117695,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0
10217682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0
10327686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0
10427682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0
10537695,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0
10637686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0
10747693,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0
10847686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,18,0,0
10957695,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0
11057686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
11167694,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
11267686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
11377687,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
11477690,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
11587694,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
11687686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0
11797934,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,22,0,0
11898067,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0
12007689,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0
12107690,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0
12217683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0
12317686,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0
12427916,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0
