timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
63579607,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,1,1,0,0
63677705,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,1,1,0,0
63777703,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,1,1,0,0
63877705,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,1,1,0,0
63987705,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,1,1,0,0
64087707,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,1,1,0,0
64197707,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,1,1,0,0
64297697,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-67,0,1,1,0,0
64407709,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-67,0,1,1,0,0
64507699,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-67,0,1,1,0,0
64617707,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
64717701,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
64827949,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
64927699,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
65038105,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
65137697,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
65247709,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-67,0,2,2,0,0
65347703,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-67,0,2,2,0,0
65457719,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-67,0,2,2,0,0
65557697,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
65667709,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
65767699,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
65877703,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
65977709,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
66087705,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
66187699,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
66297711,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
66397697,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
66507705,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
66607707,NODE_B4BFE932FE90,victim,3,B0:CB:D8:F3:32:19,-68,0,4,4,0,0
