timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2220073,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2269533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2319537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2369534,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2419539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2479535,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2529537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2589537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2639533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2789542,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2849538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2899539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2949533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3009537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3059533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3119545,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3169533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3229541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3279537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3339541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3399541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3449538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3499535,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3649549,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3699533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3759537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3809534,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3869538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3919539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3979535,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4039936,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4089537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4139537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4199533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4249537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4309533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4359537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4509541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4559541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4619533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4679537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4729533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4779537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4839533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4889538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4949538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4999535,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5059539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5109537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5169537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5229533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5279537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5329533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5479547,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5529533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5589537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5639533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5699537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5749533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5809537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5869537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5919533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
5969538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
6029534,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
6079539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
6139539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
6189537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
6339541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6389538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6449538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6509534,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6559539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6609533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6669537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6719537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6779537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6829533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6889537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6939533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6999533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7059537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7109538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7159539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7389541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7439541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7499533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7549537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7609537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7659533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7719537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7779533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7829538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7879535,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7939539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7989533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
8049643,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
8099537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
8249546,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
8299535,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0
8359539,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8419535,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8469537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8519533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8579537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8629537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8689533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8739537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8799533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8849538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8909534,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
9139543,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
9189537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
9239533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9299537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9349537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9409541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9459537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9519533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9569538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9629534,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9689538,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9739535,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9789537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9849533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9899537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
9959533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
10009537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
10159547,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
10209541,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
10269537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0
10329533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,0,0
10379537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,0,0
10439533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,0,0
10489537,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,0,0
10549533,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,0,0
