timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
6326326,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0,F4:2D:C9:73:E6:18,1,-1206214
7266637,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0,F4:2D:C9:73:E6:18,2,-1302900
8327320,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0,F4:2D:C9:73:E6:18,3,-1242217
9236335,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0,F4:2D:C9:73:E6:18,4,-1333201
10307772,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,0,0,F4:2D:C9:73:E6:18,5,-1261763
11298621,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,6,0,0,F4:2D:C9:73:E6:18,6,-1270918
12292426,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,7,0,0,F4:2D:C9:73:E6:18,7,-1277110
13277375,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,8,0,0,F4:2D:C9:73:E6:18,8,-1292165
14280035,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,9,0,0,F4:2D:C9:73:E6:18,9,-1289500
15334764,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,0,0,F4:2D:C9:73:E6:18,10,-1234780
16363148,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,0,0,F4:2D:C9:73:E6:18,11,-1206387
17306554,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,12,0,0,F4:2D:C9:73:E6:18,12,-1312981
18302632,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,13,0,0,F4:2D:C9:73:E6:18,13,-1316905
19276142,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,14,0,0,F4:2D:C9:73:E6:18,14,-1343394
20337210,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,15,0,0,F4:2D:C9:73:E6:18,15,-1282325
21339986,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,16,0,0,F4:2D:C9:73:E6:18,16,-1279551
22339915,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,17,0,0,F4:2D:C9:73:E6:18,17,-1279620
23337559,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,18,0,0,F4:2D:C9:73:E6:18,18,-1281976
24381248,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,19,0,0,F4:2D:C9:73:E6:18,19,-1238298
25317026,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,20,0,0,F4:2D:C9:73:E6:18,20,-1302510
26433791,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,21,0,0,F4:2D:C9:73:E6:18,21,-1185744
27377149,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,0,0,F4:2D:C9:73:E6:18,22,-1282390
28372251,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,23,0,0,F4:2D:C9:73:E6:18,23,-1287284
29310378,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,24,0,0,F4:2D:C9:73:E6:18,24,-1349160
30336898,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,25,0,0,F4:2D:C9:73:E6:18,25,-1322642
31376927,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,26,0,0,F4:2D:C9:73:E6:18,26,-1282608
32326378,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,27,0,0,F4:2D:C9:73:E6:18,27,-1333159
33369299,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,28,0,0,F4:2D:C9:73:E6:18,28,-1290236
34313856,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,29,0,0,F4:2D:C9:73:E6:18,29,-1345679
34752493,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,30,0,0,B4:BF:E9:32:FE:90,1,-2350285
35371621,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,31,0,0,F4:2D:C9:73:E6:18,30,-1287916
35726530,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,32,0,0,B4:BF:E9:32:FE:90,2,-2373057
36366960,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,33,0,0,F4:2D:C9:73:E6:18,31,-1292575
36760563,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,34,0,0,B4:BF:E9:32:FE:90,3,-2339023
37375379,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,35,0,0,F4:2D:C9:73:E6:18,32,-1294156
37749812,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,36,0,0,B4:BF:E9:32:FE:90,4,-2349770
38190045,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,37,0,0,B4:BF:E9:34:ED:80,1,77023
38320078,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,38,0,0,F4:2D:C9:73:E6:18,33,-1349458
38711567,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,39,0,0,B4:BF:E9:32:FE:90,5,-2388016
39185657,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,40,0,0,B4:BF:E9:34:ED:80,2,76115
39323588,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,41,0,0,F4:2D:C9:73:E6:18,34,-1345947
39718980,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,42,0,0,B4:BF:E9:32:FE:90,6,-2380607
40186447,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,43,0,0,B4:BF:E9:34:ED:80,3,76910
40324008,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,44,0,0,F4:2D:C9:73:E6:18,35,-1345527
40719726,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,45,0,0,B4:BF:E9:32:FE:90,7,-2379865
41185850,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,46,0,0,B4:BF:E9:34:ED:80,4,76313
41331657,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,47,0,0,F4:2D:C9:73:E6:18,36,-1337879
41714572,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,48,0,0,B4:BF:E9:32:FE:90,8,-2385011
42185612,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,49,0,0,B4:BF:E9:34:ED:80,5,76074
42325923,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,50,0,0,F4:2D:C9:73:E6:18,37,-1343612
42718765,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,51,0,0,B4:BF:E9:32:FE:90,9,-2380817
43188424,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,52,0,0,B4:BF:E9:34:ED:80,6,78882
43320316,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,53,0,0,F4:2D:C9:73:E6:18,38,-1349219
43711775,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,54,0,0,B4:BF:E9:32:FE:90,10,-2387811
44198980,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,55,0,0,B4:BF:E9:34:ED:80,7,89441
44321735,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,56,0,0,F4:2D:C9:73:E6:18,39,-1347803
44713078,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,57,0,0,B4:BF:E9:32:FE:90,11,-2386509
45199057,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,58,0,0,B4:BF:E9:34:ED:80,8,79520
45355496,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,59,0,0,F4:2D:C9:73:E6:18,40,-1314048
45711433,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,60,0,0,B4:BF:E9:32:FE:90,12,-2388157
46201554,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,61,0,0,B4:BF:E9:34:ED:80,9,82015
