timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2347996,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-55,0,0,0,0,0
2389521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-55,0,1,1,0,0
2439521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-55,0,1,1,0,0
2489522,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-55,0,1,1,0,0
2549522,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
2599519,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
2659523,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
2710298,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
2769521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
2819521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
3029531,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
3079517,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
3139521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
3189517,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
3249521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
3299517,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,1,1,0,0
3359529,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-48,0,1,1,0,0
3409517,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-48,0,2,2,0,0
3469525,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-51,0,2,2,0,0
3519518,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-51,0,2,2,0,0
3579522,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,2,2,0,0
3629537,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-53,0,2,2,0,0
3689523,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3739521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3799517,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3849521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3909521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-55,0,2,2,0,0
3959521,NODE_B4BFE934ED80,victim,2,B0:CB:D8:F3:32:19,-54,0,2,2,0,0
