timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
55719142,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
55817745,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
55917747,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
56017743,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
56127751,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
56227753,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
56337751,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
56437747,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
56547743,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
56647745,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
56757755,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
56857743,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
56967747,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
57067749,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
57177751,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
57277743,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
57387751,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-64,0,0,0,0,0
57487745,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-64,0,0,0,0,0
57597747,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-64,0,0,0,0,0
57697751,NODE_B0CBD8F33218,blackhole,3,B4:BF:E9:34:ED:81,-64,0,0,0,0,0
