timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
7272830,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
7367664,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
7467670,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
7567670,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7667668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7777676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7877670,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7987682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8087668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8197668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8307666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8407666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8507668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
8617978,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
8717674,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
8827949,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
8927683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9037672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9137666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9247666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9357666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9457668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9557674,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
9667682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
9767668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
9877680,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
9977678,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10087666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10187668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10297668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10407674,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10507666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
10618128,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
10717680,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0
10827938,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,14,0,0
10928003,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
11028034,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
11127666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
11237666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
11337666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
11447668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
