timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
7362651,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
7457667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7557669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7657665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7757667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7867671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7967665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
8077677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8177663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8287667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
8397669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
8497673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
8597679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
8707667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
8807665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
8917665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
9017985,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9117673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9217661,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
9327673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
9437972,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
9537677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
9637665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
9747665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
9847663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
9957665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
10058194,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10167665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10277671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
