timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
7422658,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0,B4:BF:E9:34:ED:80,167,-229705034
7515618,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0,F4:2D:C9:73:E6:18,201,-214112048
8008046,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0,70:4B:CA:25:B7:68,9,-205439658
8216282,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0,B4:BF:E9:32:FE:90,12,-208931414
8433778,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0,B4:BF:E9:34:ED:80,168,-229693910
8507936,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0,F4:2D:C9:73:E6:18,202,-214119730
9011082,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0,70:4B:CA:25:B7:68,10,-205436611
9216349,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0,B4:BF:E9:32:FE:90,13,-208931348
9433269,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0,B4:BF:E9:34:ED:80,169,-229704426
9509567,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0,F4:2D:C9:73:E6:18,203,-214118221
10007066,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0,70:4B:CA:25:B7:68,11,-205440627
10222788,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0,B4:BF:E9:32:FE:90,14,-208924912
10432942,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0,B4:BF:E9:34:ED:80,170,-229704745
10515047,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,14,0,0,F4:2D:C9:73:E6:18,204,-214112627
11005134,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0,70:4B:CA:25:B7:68,12,-205442569
11225757,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0,B4:BF:E9:32:FE:90,15,-208931943
11432890,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0,B4:BF:E9:34:ED:80,171,-229704798
11507765,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,18,0,0,F4:2D:C9:73:E6:18,205,-214119905
12018462,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0,70:4B:CA:25:B7:68,13,-205429241
12226570,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0,B4:BF:E9:32:FE:90,16,-208931130
12433812,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0,B4:BF:E9:34:ED:80,172,-229703888
12507938,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,22,0,0,F4:2D:C9:73:E6:18,206,-214119729
13009074,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0,70:4B:CA:25:B7:68,14,-205438623
13225738,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0,B4:BF:E9:32:FE:90,17,-208931963
13434566,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,25,0,0,B4:BF:E9:34:ED:80,173,-229703121
13511590,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,26,0,0,F4:2D:C9:73:E6:18,207,-214116076
14005620,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,27,0,0,70:4B:CA:25:B7:68,15,-205442079
14225820,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,28,0,0,B4:BF:E9:32:FE:90,18,-208931880
14433122,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,29,0,0,B4:BF:E9:34:ED:80,174,-229704570
14510084,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,30,0,0,F4:2D:C9:73:E6:18,208,-214117590
15010988,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,31,0,0,70:4B:CA:25:B7:68,16,-205436709
15226999,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,32,0,0,B4:BF:E9:32:FE:90,19,-208930697
15433674,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,33,0,0,B4:BF:E9:34:ED:80,175,-229704021
15507506,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,34,0,0,F4:2D:C9:73:E6:18,209,-214120161
16008321,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,35,0,0,70:4B:CA:25:B7:68,17,-205439376
16228690,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,36,0,0,B4:BF:E9:32:FE:90,20,-208929015
16432799,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,37,0,0,B4:BF:E9:34:ED:80,176,-229704896
16524551,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,38,0,0,F4:2D:C9:73:E6:18,210,-214103937
17005592,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,39,0,0,70:4B:CA:25:B7:68,18,-205442104
17226886,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,40,0,0,B4:BF:E9:32:FE:90,21,-208930810
17437729,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,41,0,0,B4:BF:E9:34:ED:80,177,-229699961
17507946,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,42,0,0,F4:2D:C9:73:E6:18,211,-214119720
18078030,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,43,0,0,70:4B:CA:25:B7:68,19,-205369663
18225672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,44,0,0,B4:BF:E9:32:FE:90,22,-208932024
18433168,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,45,0,0,B4:BF:E9:34:ED:80,178,-229704519
