timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
1611079,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2602654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,2,0,0
3602654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,4,0,0
4602654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,6,0,0
5602654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,8,0,0
6612654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,10,0,0
7612646,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,12,0,0
8692658,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,14,0,0
9692646,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,16,0,0
10702650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,18,0,0
11712650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,20,0,0
12712654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,22,0,0
13722646,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,24,0,0
14722654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,26,0,0
15732646,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,28,0,0
16732650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,30,0,0
17802658,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,32,0,0
18802650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,34,0,0
19812646,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,36,0,0
20812654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,38,0,0
21822650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,40,0,0
22822650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,42,0,0
23832654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,44,0,0
24832650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,46,0,0
25842646,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,48,0,0
26842658,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,50,0,0
27852646,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,52,0,0
28852650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,54,0,0
29862650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,56,0,0
30862650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,58,0,0
31872650,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,60,0,0
32872654,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,62,0,0
