timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
2038603,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,1,0,0,B4:BF:E9:32:FE:90,3,-14044016
2217067,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,2,0,0,B0:CB:D8:F3:32:18,32,-30345576
3045968,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,3,0,0,B4:BF:E9:32:FE:90,4,-23116651
3223721,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,4,0,0,B0:CB:D8:F3:32:18,33,-30339598
4040701,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,5,0,0,B4:BF:E9:32:FE:90,5,-23121910
4234276,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,6,0,0,B0:CB:D8:F3:32:18,34,-30328367
5058324,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,7,0,0,B4:BF:E9:32:FE:90,6,-23104295
5220093,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,8,0,0,B0:CB:D8:F3:32:18,35,-30342550
6038969,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,9,0,0,B4:BF:E9:32:FE:90,7,-23123642
6220963,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,10,0,0,B0:CB:D8:F3:32:18,36,-30341665
7051741,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,11,0,0,B4:BF:E9:32:FE:90,8,-23110878
7217952,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,12,0,0,B0:CB:D8:F3:32:18,37,-30344691
8050113,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,13,0,0,B4:BF:E9:32:FE:90,9,-23122498
8235065,NODE_B4BFE934ED80,root,1,00:00:00:00:00:00,0,0,0,14,0,0,B0:CB:D8:F3:32:18,38,-30327562
