timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
1557349,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
2552624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
3552624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
4552624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
5562628,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
6562624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
7572632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
8572624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-62,0,0,0,0,0
9582632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
10582624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
11622632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
12622624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
13632632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
14632636,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
15642624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
16642636,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
17652632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
18652624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
19662632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
20672632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
21682636,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
22682632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
23692632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
24692624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
25702632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
26702624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
27712632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-61,0,0,0,0,0
28712640,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,-61,0,0,0,0,0
29742640,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,-61,0,0,0,0,0
30752640,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,-61,0,0,0,0,0
31762624,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,-61,0,0,0,0,0
32762640,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,-61,0,0,0,0,0
33772640,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,-61,0,0,0,0,0
34772640,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,-61,0,0,0,0,0
35782640,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,0,0,0,0,0,0
36782636,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,0,0,0,0,0,0
37792640,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,0,0,0,0,0,0
38792636,NODE_F42DC973E618,wormhole_a,-1,00:00:00:00:00:00,0,0,0,0,0,0
39802640,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-59,0,0,0,0,0
40812632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-60,0,0,0,0,0
41822636,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-60,0,0,0,0,0
42822624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-60,0,0,0,0,0
43832624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-60,0,0,0,0,0
44832624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-60,0,0,0,0,0
45842632,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-60,0,0,0,0,0
46842624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-60,0,0,0,0,0
47872624,NODE_F42DC973E618,wormhole_a,2,B4:BF:E9:34:ED:81,-60,0,0,0,0,0
